symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
NG,2016-08-31,False,Q3,2016,10-Q,,-6422000.0,-7381000.0,-0.02,-0.02,0.0,420389000.0,109975000.0,2688000.0,28455000.0,313160000.0,-535000.0,-2742000.0,0.0
AZZ,2016-08-31,False,Q2,2017,10-Q,195045000.0,14889000.0,10023000.0,0.39,0.38,0.0,991734000.0,308413000.0,149255000.0,15914000.0,510855000.0,50028000.0,-42119000.0,-32292000.0
CAG,2016-08-28,False,Q1,2017,10-Q,2667500000.0,,186200000.0,0.42,0.42,0.25,12835900000.0,3407100000.0,2364800000.0,794600000.0,3799600000.0,325900000.0,371900000.0,-737700000.0
