symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
TPC,2016-04-30,False,Q1,2017,10-Q,44372000.0,-93922000.0,-94107000.0,-1.24,-1.24,0.0,741416000.0,269005000.0,931521000.0,197648000.0,-356919000.0,-6057000.0,-10124000.0,98060000.0
UEC,2016-04-30,False,Q3,2016,10-Q,0.0,-2936921.0,-3679055.0,-0.03,-0.03,0.0,59558492.0,11115132.0,2113915.0,10086805.0,33630461.0,-10265296.0,-64571.0,10324264.0
ABM,2016-04-30,False,Q2,2016,10-Q,1257100000.0,11800000.0,4400000.0,0.08,0.08,0.165,2184500000.0,903400000.0,568200000.0,45700000.0,992200000.0,56000000.0,-94400000.0,28600000.0
AGX,2016-04-30,False,Q1,2017,10-Q,942887000.0,21255000.0,12230000.0,0.82,0.81,0.0,459266000.0,401134000.0,218353000.0,191430000.0,237774000.0,43726000.0,-14245000.0,495000.0
BBY,2016-04-30,False,Q1,2017,10-Q,8443000000.0,372000000.0,229000000.0,0.71,0.7,0.73,12901000000.0,9282000000.0,6334000000.0,1845000000.0,4426000000.0,483000000.0,-42000000.0,-612000000.0
BIG,2016-04-30,False,Q1,2016,10-Q,1312575000.0,62570000.0,38659000.0,0.8,0.79,0.21,1606621000.0,956165000.0,654801000.0,64390000.0,620074000.0,78611000.0,-18752000.0,-49613000.0
BOX,2016-04-30,False,Q1,2016,10-Q,90155000.0,-38592000.0,-38575000.0,-0.31,-0.31,0.0,434193000.0,267351000.0,200720000.0,182690000.0,121575000.0,-4231000.0,-4386000.0,5452000.0
BKE,2016-04-30,False,Q1,2016,10-Q,243543000.0,36430000.0,23097000.0,0.48,0.48,0.25,564819000.0,357486000.0,85482000.0,153415000.0,425501000.0,12319000.0,-7933000.0,-12156000.0
CAL,2016-04-30,False,Q1,2016,10-Q,15563000.0,28743000.0,17782000.0,0.41,0.41,0.07,1226092000.0,794180000.0,314559000.0,149534000.0,607977000.0,65160000.0,-18187000.0,-16184000.0
CMN,2016-04-30,False,Q3,2016,10-Q,173703000.0,23263000.0,13904000.0,0.34,0.34,0.0,706899000.0,225929000.0,91274000.0,25498000.0,447638000.0,51803000.0,-106916000.0,49033000.0
CIEN,2016-04-30,False,Q2,2016,10-Q,640717000.0,28233000.0,13997000.0,0.1,0.1,0.0,2981583000.0,2078049000.0,630132000.0,922033000.0,669012000.0,75682000.0,-179878000.0,235907000.0
CBK,2016-04-30,False,Q1,2016,10-Q,100033000.0,-955000.0,-167000.0,0.0,0.0,0.0,155013000.0,93712000.0,47754000.0,25703000.0,88471000.0,-5051000.0,-729000.0,-23000.0
DCI,2016-04-30,False,Q3,2016,10-Q,571300000.0,74900000.0,54800000.0,0.41,0.41,0.17,1824700000.0,1028900000.0,523700000.0,247400000.0,803600000.0,201900000.0,-44300000.0,-101500000.0
ENZ,2016-04-30,False,Q3,2016,10-Q,26433000.0,-2514000.0,-2115000.0,-0.05,-0.05,0.0,76488000.0,55157000.0,21672000.0,32360000.0,52968000.0,17004000.0,-1390000.0,-1371000.0
EXPR,2016-04-30,False,Q1,2016,10-Q,502909000.0,31821000.0,12882000.0,0.16,0.16,0.0,1127700000.0,459459000.0,343052000.0,111033000.0,593571000.0,-15661000.0,-18247000.0,-43553000.0
FGP,2016-04-30,False,Q3,2016,10-Q,509472000.0,54218000.0,18685000.0,0.19,0.19,0.0,2372849000.0,322566000.0,325528000.0,6266000.0,1100.0,220082000.0,-110918000.0,-110550000.0
FL,2016-04-30,False,Q1,2016,10-Q,1987000000.0,296000000.0,191000000.0,1.4,1.39,0.0,3758000000.0,2592000000.0,578000000.0,1062000000.0,2675000000.0,212000000.0,-65000000.0,-112000000.0
GCO,2016-04-30,False,Q1,2017,10-Q,648793000.0,17897000.0,10410000.0,0.5,0.5,0.0,1482276000.0,735390000.0,311013000.0,42750000.0,905686000.0,18546000.0,-17357000.0,-91979000.0
GEF,2016-04-30,False,Q2,2016,10-Q,839600000.0,82800000.0,31400000.0,1.33,1.33,0.42,3207200000.0,928100000.0,908700000.0,89600000.0,1000500000.0,57700000.0,25900000.0,-101200000.0
HPE,2016-04-30,False,Q2,2016,10-Q,12711000000.0,492000000.0,320000000.0,0.19,0.18,0.06,78064000000.0,31147000000.0,20597000000.0,9010000000.0,32024000000.0,1032000000.0,-1121000000.0,-706000000.0
IDT,2016-04-30,False,Q3,2016,10-Q,355154000.0,5676000.0,4237000.0,0.19,0.19,0.19,469278000.0,336757000.0,335334000.0,101135000.0,131764000.0,35833000.0,-16037000.0,-25654000.0
KMG,2016-04-30,False,Q3,2016,10-Q,75168000.0,7029000.0,6362000.0,0.54,0.53,0.03,242833000.0,93236000.0,45074000.0,10546000.0,141143000.0,29353000.0,-13949000.0,-12215000.0
NMBL,2016-04-30,False,Q1,2017,10-Q,86417000.0,-42214000.0,-42682000.0,-0.51,-0.51,0.0,322570000.0,271790000.0,109804000.0,202984000.0,142415000.0,-8298000.0,-6781000.0,6414000.0
OOMA,2016-04-30,False,Q1,2017,10-Q,24459000.0,-4042000.0,-3956000.0,-0.23,-0.23,0.0,72968000.0,65962000.0,30490000.0,8982000.0,42240000.0,-1245000.0,-17081000.0,-105000.0
OXM,2016-04-30,False,Q1,2016,10-Q,256235000.0,32006000.0,20177000.0,1.22,1.21,0.27,698795000.0,255550000.0,109370000.0,6974000.0,352368000.0,1697000.0,-104483000.0,103165000.0
PNY,2016-04-30,False,Q2,2016,10-Q,350186000.0,71840000.0,63432000.0,0.78,0.78,0.34,5464260000.0,278965000.0,652891000.0,12317000.0,1551292000.0,255749000.0,-263457000.0,6281000.0
QHC,2016-03-31,False,Q1,2016,10-Q,614484000.0,21050000.0,-5002000.0,,,0.0,2302330000.0,655177000.0,323508000.0,996000.0,14211000.0,24397000.0,-14456000.0,-10051000.0
ADXS,2016-04-30,False,Q2,2016,10-Q,,-15593234.0,-15522450.0,-0.45,-0.45,0.0,104300181.0,98541198.0,8891784.0,44924461.0,95193297.0,-16758807.0,-5416833.0,538418.0
AEPI,2016-04-30,False,Q2,2016,10-Q,273162000.0,26114000.0,13780000.0,2.7,2.68,0.25,458305000.0,257300000.0,114547000.0,34745000.0,109468000.0,27521000.0,-8292000.0,-4852000.0
RH,2016-04-30,False,Q1,2016,10-Q,455456000.0,-11475000.0,-13470000.0,-0.33,-0.33,0.0,2051008000.0,1244435000.0,406937000.0,237156000.0,879528000.0,-106292000.0,-7331000.0,-6000.0
AMBA,2016-04-30,False,Q1,2017,10-Q,57157000.0,1348000.0,1783000.0,0.05,0.05,0.0,419053000.0,376086000.0,39834000.0,267959000.0,376452000.0,15550000.0,-16562000.0,915000.0
ARWAU,2016-02-29,False,FY,2016,10-K,29072.0,,-358576.0,-0.13,-0.13,0.0,84568646.0,56877.0,103196.0,10092.0,5000005.0,-387006.0,-84426928.0,84794707.0
