symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ELMD,2016-06-30,False,FY,2016,10-K,22991999.0,3109308.0,2212502.0,0.27,0.27,0.0,20587261.0,15820776.0,3072526.0,5123355.0,16358596.0,2166903.0,-579521.0,-62267.0
ANF,2016-07-30,False,Q2,2016,10-Q,783160000.0,-10805000.0,-13129000.0,-0.19,-0.19,0.2,2332390000.0,1096671000.0,499344000.0,455606000.0,1232224000.0,-57859000.0,-53911000.0,-28779000.0
ALR,2016-06-30,False,Q2,2016,10-Q,608555000.0,22545000.0,-40342000.0,-0.46,-0.46,0.0,5790894000.0,1435307000.0,561942000.0,506164000.0,2012162000.0,94122000.0,-13579000.0,-73615000.0
BBY,2016-07-30,False,Q2,2017,10-Q,8533000000.0,289000000.0,198000000.0,0.62,0.61,0.28,13254000000.0,9694000000.0,6800000000.0,1861000000.0,4319000000.0,1288000000.0,-495000000.0,-933000000.0
INBP,2016-06-30,False,FY,2016,10-K,42214000.0,2114000.0,958000.0,0.05,0.05,0.0,14085000.0,12070000.0,11824000.0,395000.0,-8327000.0,-594000.0,-107000.0,1025000.0
COO,2016-07-31,False,Q3,2016,10-Q,514726000.0,102672000.0,87900000.0,1.81,1.79,0.0,4592700000.0,929639000.0,320241000.0,62613000.0,2737402000.0,316273000.0,-368653000.0,101450000.0
GPS,2016-07-30,False,Q2,2016,10-Q,3851000000.0,279000000.0,125000000.0,0.31,0.31,0.0,7737000000.0,4301000000.0,2781000000.0,1681000000.0,2559000000.0,734000000.0,-271000000.0,-160000000.0
GEF,2016-07-31,False,Q3,2016,10-Q,845000000.0,71600000.0,46100000.0,1.96,1.96,0.42,3183900000.0,946300000.0,914300000.0,94300000.0,994200000.0,158000000.0,4600000.0,-171200000.0
HRL,2016-07-24,False,Q3,2016,10-Q,2302376000.0,274790000.0,195654000.0,0.37,0.36,0.145,6388297000.0,2010105000.0,1128727000.0,379597000.0,4393947000.0,621686000.0,-327879000.0,-256297000.0
JOY,2016-07-29,False,Q3,2016,10-Q,586552000.0,-5169000.0,128000.0,0.0,0.0,0.01,3433417000.0,1851223000.0,789192000.0,182825000.0,1372846000.0,178783000.0,-11722000.0,-84547000.0
KEYS,2016-07-31,False,Q3,2016,10-Q,715000000.0,106000000.0,91000000.0,0.54,0.53,0.0,3675000000.0,1711000000.0,601000000.0,664000000.0,1597000000.0,277000000.0,-76000000.0,-25000000.0
KSS,2016-07-30,False,Q2,2016,10-Q,4182000000.0,302000000.0,140000000.0,0.77,0.77,0.5,13360000000.0,4955000000.0,2803000000.0,700000000.0,5215000000.0,846000000.0,-337000000.0,-516000000.0
LB,2016-07-30,False,Q2,2016,10-Q,2890000000.0,408000000.0,252000000.0,0.88,0.87,0.6,7541000000.0,2960000000.0,1819000000.0,1273000000.0,-1129000000.0,421000000.0,-394000000.0,-1299000000.0
LOW,2016-07-29,False,Q2,2016,10-Q,18260000000.0,,1162000000.0,1.32,1.31,0.35,36471000000.0,13351000000.0,13183000000.0,1988000000.0,7022000000.0,4628000000.0,-2934000000.0,-110000000.0
MDT,2016-07-29,False,Q1,2017,10-Q,7166000000.0,1167000000.0,929000000.0,0.67,0.66,0.43,98601000000.0,23498000000.0,7896000000.0,3060000000.0,50892000000.0,1550000000.0,-284000000.0,-1160000000.0
