symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
APT,2015-12-31,False,FY,2015,10-K,44955000.0,1475000.0,1041000.0,0.06,0.06,0.0,39134000.0,33081000.0,2155000.0,9681000.0,36112000.0,5971000.0,-449000.0,-1336000.0
CIX,2015-12-31,False,FY,2015,10-K,108994000.0,13971000.0,9118000.0,0.73,0.73,0.2,134792000.0,76909000.0,12088000.0,52347000.0,117703000.0,13476000.0,-4218000.0,-2481000.0
EVBN,2015-12-31,False,FY,2015,10-K,49348000.0,,7843000.0,1.85,1.82,0.72,939107000.0,,,11813000.0,91256000.0,8098000.0,-82465000.0,86090000.0
GSB,2015-12-31,False,FY,2015,10-K,30841000.0,6417000.0,4598000.0,0.22,0.22,0.045,44213000.0,26021000.0,14859000.0,15885000.0,25698000.0,7090000.0,-2188000.0,-375000.0
ISDR,2015-12-31,False,FY,2015,10-K,11619883.0,634236.0,144584.0,0.06,0.06,0.0,11170143.0,5721241.0,2403378.0,4215145.0,8558977.0,3176566.0,-663196.0,-16766.0
NBY,2015-12-31,False,FY,2015,10-K,4381000.0,-21014000.0,-18973000.0,-6.82,-6.82,0.0,5077000.0,4527000.0,4633000.0,2385000.0,-5098000.0,-18559000.0,-86000.0,15601000.0
PARR,2015-12-31,False,FY,2015,10-K,2066337000.0,61514000.0,-39911000.0,-1.06,-1.06,0.0,892261000.0,531752000.0,365040000.0,167788000.0,340611000.0,132358000.0,-114205000.0,60425000.0
XPL,2015-12-31,False,FY,2015,10-K,,,8869000.0,-0.09,-0.09,0.0,18054000.0,17990000.0,179000.0,17718000.0,17875000.0,-1723000.0,23833000.0,-4879000.0
TRXC,2015-12-31,False,FY,2015,10-K,77000.0,-46371000.0,-46948000.0,-0.59,-0.59,0.0,248602000.0,49143000.0,31072000.0,38449000.0,177277000.0,-38509000.0,-26234000.0,68404000.0
FCTY,2015-12-31,False,FY,2015,10-K,668000.0,,2553000.0,0.27,0.26,0.0,731950000.0,,,8889000.0,64903000.0,-32000.0,-151492000.0,142319000.0
