symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MLSS,2015-12-31,False,FY,2015,10-K,9491569.0,-3056748.0,-5467522.0,-0.26,-0.26,0.0,12809327.0,11824151.0,,4194384.0,9165492.0,-2946338.0,-3727271.0,500000.0
PW,2015-12-31,False,FY,2015,10-K,1970115.0,,-730626.0,-0.42,-0.42,0.0,21748486.0,,,435870.0,7119824.0,-225003.0,,6492.0
AYI,2016-02-29,False,Q2,2016,10-Q,777800000.0,106700000.0,65400000.0,1.5,1.49,0.13,2619800000.0,997700000.0,513400000.0,224300000.0,1493400000.0,119500000.0,-655300000.0,10200000.0
