symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
EVI,2016-06-30,False,FY,2016,10-K,36015641.0,2790921.0,1740040.0,0.25,0.25,0.2,10160757.0,9986267.0,5071917.0,3941899.0,5088840.0,1441234.0,-1563.0,-1406746.0
CPB,2016-07-31,False,FY,2016,10-K,7961000000.0,960000000.0,563000000.0,1.82,1.81,1.248,7837000000.0,1908000000.0,2555000000.0,296000000.0,1533000000.0,1463000000.0,-354000000.0,-1071000000.0
FDX,2016-08-31,False,Q1,2017,10-Q,14663000000.0,1264000000.0,714000000.0,2.69,2.65,0.8,45575000000.0,11401000000.0,7474000000.0,2989000000.0,14142000000.0,971000000.0,-1206000000.0,-313000000.0
GIS,2016-08-28,False,Q1,2017,10-Q,3907900000.0,645800000.0,409000000.0,0.68,0.67,0.48,21913100000.0,4193000000.0,5215100000.0,765700000.0,5288600000.0,288300000.0,-127300000.0,-155700000.0
KR,2016-08-13,False,Q2,2016,10-Q,26565000000.0,665000000.0,383000000.0,0.4,0.4,0.12,34662000000.0,9244000000.0,13521000000.0,319000000.0,6601000000.0,3032000000.0,-1940000000.0,-1050000000.0
OMN,2016-08-31,False,Q3,2016,10-Q,195600000.0,21200000.0,4700000.0,0.11,0.1,0.0,862300000.0,431200000.0,265600000.0,70300000.0,130400000.0,41000000.0,-11100000.0,-4100000.0
