symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AMS,2015-12-31,False,FY,2015,10-K,16548000.0,1980000.0,-1522000.0,-0.28,-0.28,0.0,54114000.0,6007000.0,8698000.0,2209000.0,25180000.0,8548000.0,-1926000.0,-5472000.0
CKX,2015-12-31,False,FY,2015,10-K,1062101.0,650698.0,463028.0,0.24,0.24,0.1,14156936.0,6201002.0,54402.0,2767424.0,13809767.0,441974.0,-2705894.0,-194250.0
CVU,2015-12-31,False,FY,2015,10-K,100202557.0,8965555.0,5015993.0,0.59,0.58,0.0,116712536.0,112355720.0,45062803.0,1002023.0,70532109.0,2057832.0,-209718.0,-2350998.0
FSI,2015-12-31,False,FY,2015,10-K,15898547.0,2350467.0,1504696.0,0.11,0.11,0.0,14142630.0,7972433.0,1561197.0,2498738.0,12028151.0,2736651.0,-63727.0,-885661.0
HEB,2015-12-31,False,FY,2015,10-K,133000.0,-16650000.0,-15230000.0,-0.06,-0.06,0.0,22804000.0,10571000.0,2433000.0,2115000.0,20371000.0,-16053000.0,6352000.0,9660000.0
NSPR,2015-12-31,False,FY,2015,10-K,2310000.0,-14485000.0,-15585000.0,-2.23,-2.23,0.0,5778000.0,4632000.0,6919000.0,3257000.0,-2946000.0,-11596000.0,-23000.0,8617000.0
INTT,2015-12-31,False,FY,2015,10-K,38889000.0,2562000.0,1861000.0,0.18,0.18,0.0,39984000.0,34823000.0,4059000.0,25710000.0,35925000.0,3498000.0,-599000.0,-155000.0
LGL,2015-12-31,False,FY,2015,10-K,20713000.0,-788000.0,-711000.0,-0.27,-0.27,0.0,15803000.0,11952000.0,2076000.0,5553000.0,13727000.0,689000.0,-328000.0,0.0
WTT,2015-12-31,False,FY,2015,10-K,27230093.0,747039.0,376681.0,0.02,0.02,0.0,34706324.0,23832785.0,1768421.0,9726007.0,32904451.0,1022621.0,,-1556699.0
YUMA,2015-12-31,False,FY,2015,10-K,23719410.0,-18567992.0,-12265980.0,-0.17,-0.17,0.0,119621453.0,12671744.0,39848783.0,5355191.0,64224916.0,-1370144.0,-12311157.0,7478170.0
AMTX,2015-12-31,False,FY,2015,10-K,146649000.0,-8609000.0,-27138000.0,-1.37,-1.37,0.0,83141000.0,8002000.0,29297000.0,283000.0,-35294000.0,-786000.0,-71000.0,816000.0
AKER,2015-12-31,False,FY,2015,10-K,2115050.0,-9682230.0,-9311913.0,-1.81,-1.81,0.0,8271909.0,6481068.0,1668731.0,402059.0,6603178.0,-5132301.0,5078519.0,
ALSK,2015-12-31,False,FY,2015,10-K,232817000.0,47746000.0,12954000.0,0.26,0.25,0.0,463601000.0,75792000.0,59459000.0,36001000.0,153859000.0,12581000.0,240341000.0,-248630000.0
AMRI,2015-12-31,False,FY,2015,10-K,402356000.0,13649000.0,-2301000.0,-0.07,-0.07,0.0,865567000.0,280245000.0,99096000.0,49343000.0,287223000.0,39628000.0,-221716000.0,185416000.0
ALXA,2015-12-31,False,FY,2015,10-K,2671000.0,-40024000.0,-21310000.0,-1.08,-1.08,0.0,14731000.0,10992000.0,58198000.0,7755000.0,-71658000.0,-31883000.0,19453000.0,4985000.0
AAME,2015-12-31,False,FY,2015,10-K,165937000.0,851000.0,3989000.0,0.19,0.19,0.0,314603000.0,,,15622000.0,102492000.0,2209000.0,-1201000.0,-1761000.0
RILY,2015-12-31,False,FY,2015,10-K,112525000.0,22082000.0,11805000.0,0.73,0.73,0.32,132420000.0,72952000.0,21950000.0,30012000.0,109320000.0,31671000.0,4918000.0,-28050000.0
BYFC,2015-12-31,False,FY,2015,10-K,18063000.0,,9072000.0,0.31,0.31,0.0,402912000.0,,,5104000.0,46163000.0,14165000.0,-7863000.0,40747000.0
CALM,2016-02-27,False,Q3,2016,10-Q,449760000.0,85771000.0,64164000.0,1.33,1.33,0.441,1124232000.0,654268000.0,127627000.0,8139000.0,916016000.0,332720000.0,-207363000.0,-125885000.0
CDNA,2015-12-31,False,FY,2015,10-K,28144000.0,-11932000.0,-13707000.0,-1.16,-1.16,0.0,55638000.0,34362000.0,10152000.0,29888000.0,29494000.0,-9752000.0,-1199000.0,4408000.0
CASI,2015-12-31,False,FY,2015,10-K,47712.0,,-7206423.0,-0.22,-0.22,0.0,5826315.0,5569345.0,1053564.0,5131114.0,-6087441.0,-5513409.0,-25396.0,
