symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AE,2016-06-30,False,Q2,2016,10-Q,293163000.0,5601000.0,3404000.0,0.81,0.81,0.22,251526000.0,189919000.0,87540000.0,90771000.0,155488000.0,6152000.0,-5402000.0,-1856000.0
WGA,2016-06-30,False,Q2,2016,10-Q,1402000.0,-871000.0,-837000.0,-0.07,-0.07,0.0,4461000.0,4441000.0,646000.0,3144000.0,3815000.0,-762000.0,33000.0,
AAMC,2016-06-30,False,Q2,2016,10-Q,5654000.0,,-1313000.0,-0.23,-0.23,0.0,61216000.0,,,39419000.0,-192383000.0,-6250000.0,-132290000.0,-6585000.0
AINC,2016-06-30,False,Q2,2016,10-Q,18152000.0,-2192000.0,-1106000.0,-0.55,-0.71,0.0,126312000.0,109613000.0,24518000.0,86432000.0,87437000.0,77314000.0,1040000.0,-42194000.0
BHB,2016-06-30,False,Q2,2016,10-Q,3614000.0,,4311000.0,0.72,0.71,0.0,1687549000.0,,,25867000.0,165231000.0,6707000.0,-84555000.0,93995000.0
BTX,2016-06-30,False,Q2,2016,10-Q,1266000.0,-14403000.0,24549000.0,0.26,0.26,0.0,104327000.0,31047000.0,7403000.0,27702000.0,94052000.0,-24559000.0,-10016000.0,19731000.0
ROX,2016-06-30,False,Q1,2017,10-Q,16750925.0,-158669.0,-765819.0,-0.0,-0.0,0.0,50917395.0,41634066.0,12562846.0,329873.0,23498307.0,-927412.0,-141375.0,-31121.0
CVM,2016-06-30,False,Q3,2016,10-Q,126501.0,-6382747.0,-3849324.0,-0.03,-0.03,0.0,14480620.0,8576974.0,5281512.0,5218960.0,-3773823.0,-16218596.0,-36413.0,15747287.0
CQH,2016-06-30,False,Q2,2016,10-Q,151171000.0,,4441000.0,0.02,0.02,0.02,885000.0,885000.0,136000.0,559000.0,749000.0,-1259000.0,,-9268000.0
LNG,2016-06-30,False,Q2,2016,10-Q,176827000.0,-76454000.0,-298418000.0,-1.31,-1.31,0.0,21436851000.0,1990482000.0,2414521000.0,1049478000.0,864167000.0,-144034000.0,-19257000.0,11657000.0
CQP,2016-06-30,False,Q2,2016,10-Q,151171000.0,12594000.0,-100125000.0,-0.21,-0.21,0.0,14258850000.0,645986000.0,2164926000.0,12262000.0,,11764000.0,-7144000.0,-138579000.0
CKX,2016-06-30,False,Q2,2016,10-Q,139648.0,-21685.0,3570.0,0.0,0.0,0.0,14363131.0,6562694.0,151726.0,3033050.0,13918638.0,115373.0,143746.0,6507.0
CMT,2016-06-30,False,Q2,2015,10-Q,39006000.0,2307000.0,1460000.0,0.19,0.19,0.0,134545000.0,59456000.0,22703000.0,20364000.0,93399000.0,15411000.0,-1626000.0,-2364000.0
CVU,2016-06-30,False,Q2,2016,10-Q,22280964.0,3165214.0,1790580.0,0.21,0.21,0.0,114681697.0,105874088.0,40957085.0,813806.0,63447036.0,-7327089.0,,7232625.0
DLA,2016-07-02,False,Q3,2016,10-Q,111552000.0,4227000.0,2542000.0,0.33,0.32,0.0,345490000.0,232977000.0,76869000.0,772000.0,150940000.0,-7018000.0,-9457000.0,16947000.0
ESTE,2016-06-30,False,Q2,2016,10-Q,9810000.0,-6433000.0,-11172000.0,-0.69,-0.69,0.0,327977000.0,35487000.0,31226000.0,18870000.0,275665000.0,-12131000.0,-38127000.0,45864000.0
ERN,2016-06-30,False,Q2,2016,10-Q,23151000.0,-27199000.0,-22572000.0,-0.11,-0.11,0.0,348960000.0,18500000.0,275700000.0,8759000.0,-159177000.0,-1174000.0,-9667000.0,8595000.0
