symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AIII,2016-06-30,False,Q2,2016,10-Q,,,-1184036.0,-0.06,-0.06,0.0,22771786.0,,,18277099.0,21667092.0,-1597816.0,,
ACY,2016-06-30,False,Q2,2016,10-Q,7311000.0,,298600.0,0.19,0.19,0.0,154326300.0,,,2219900.0,42010800.0,8125800.0,23038100.0,-31665000.0
ADGE,2016-06-30,False,Q2,2016,10-Q,2112148.0,-903780.0,3024720.0,0.06,0.06,0.0,29756050.0,5375329.0,886507.0,3164151.0,20160583.0,-1267980.0,-6349000.0,5193603.0
HRT,2016-06-30,False,Q2,2016,10-Q,5129013.0,125339.0,62113.0,0.02,0.02,0.0,14498779.0,6758128.0,6075819.0,526294.0,6642383.0,339250.0,-960144.0,874897.0
AMS,2016-06-30,False,Q2,2016,10-Q,4518000.0,443000.0,93000.0,0.02,0.02,0.0,59301000.0,6527000.0,9577000.0,1764000.0,25690000.0,3401000.0,-575000.0,-3271000.0
BRN,2016-06-30,False,Q3,2016,10-Q,8199000.0,539000.0,775000.0,0.09,0.09,0.0,33588000.0,22057000.0,4950000.0,17433000.0,17156000.0,3044000.0,9932000.0,-4252000.0
GSB,2016-06-30,False,Q2,2016,10-Q,8256000.0,1406000.0,954000.0,0.05,0.04,0.015,44851000.0,26782000.0,13564000.0,16990000.0,27425000.0,2457000.0,-992000.0,-360000.0
AUMN,2016-06-30,False,Q2,2016,10-Q,1576000.0,-2624000.0,-3889000.0,-0.05,-0.05,0.0,15443000.0,5601000.0,1767000.0,3932000.0,8772000.0,-3774000.0,30000.0,3599000.0
HUSA,2016-06-30,False,Q2,2016,10-Q,33887.0,-492202.0,-490406.0,-0.01,-0.01,0.0,4694884.0,1537028.0,32950.0,1248762.0,4636396.0,-713669.0,-71010.0,-90079.0
IEC,2016-07-01,False,Q3,2016,10-Q,32508000.0,1988000.0,1605000.0,0.16,0.16,0.0,56862000.0,41154000.0,23767000.0,603000.0,13569000.0,12250000.0,-2165000.0,-9889000.0
INFU,2016-06-30,False,Q2,2016,10-Q,19066000.0,1381000.0,724000.0,0.03,0.03,0.0,100267000.0,23804000.0,13845000.0,805000.0,52940000.0,1869000.0,-5360000.0,3478000.0
IDN,2016-06-30,False,Q2,2016,10-Q,940354.0,-1779194.0,-1775116.0,-0.19,-0.19,0.0,16095807.0,5189901.0,1982405.0,3992757.0,13759691.0,-2624625.0,-20067.0,684192.0
MHH,2016-06-30,False,Q2,2016,10-Q,33629000.0,1664000.0,945000.0,0.22,0.21,0.0,41664000.0,24505000.0,12832000.0,735000.0,16919000.0,-1244000.0,-40000.0,1171000.0
LIQT,2016-06-30,False,Q2,2016,10-Q,4019338.0,-229162.0,-329376.0,-0.01,-0.01,0.0,22616234.0,10627288.0,3349774.0,637035.0,19091583.0,-664498.0,-69741.0,-90809.0
MXC,2016-06-30,False,Q1,2017,10-Q,670183.0,-252185.0,-293456.0,-0.14,-0.14,0.0,16346073.0,564141.0,,37229.0,9069156.0,-24243.0,87459.0,-60000.0
MLSS,2016-06-30,False,Q2,2016,10-Q,2043282.0,-2018424.0,-1586839.0,-0.06,-0.06,0.0,12602221.0,11693684.0,,3183727.0,8611582.0,-3022644.0,-4359.0,2016346.0
NAVB,2016-06-30,False,Q2,2016,10-Q,5394480.0,-579982.0,-6681191.0,-0.04,-0.04,0.0,8682149.0,6856782.0,62392372.0,1155641.0,-63906994.0,-1356693.0,-39224.0,-4614702.0
NBY,2016-06-30,False,Q2,2016,10-Q,2663000.0,-2205000.0,-2690000.0,-0.36,-0.36,0.0,7005000.0,6574000.0,4368000.0,3495000.0,-2467000.0,-7592000.0,-38000.0,8740000.0
OCX,2016-06-30,False,Q2,2016,10-Q,,-2532000.0,-2543000.0,-0.1,-0.1,0.0,7424000.0,5746000.0,2713000.0,4000000.0,4467000.0,-3974000.0,-64000.0,42000.0
ONP,2016-06-30,False,Q2,2016,10-Q,37991892.0,4168522.0,2581606.0,0.12,0.12,0.0,219270515.0,17250531.0,31760584.0,4032245.0,174688968.0,-789702.0,-2106601.0,4423450.0
PW,2016-06-30,False,Q2,2016,10-Q,501996.0,,-106599.0,-0.06,-0.06,0.0,21663042.0,,,762533.0,7196700.0,555269.0,,-228606.0
SEB,2016-07-02,False,Q2,2016,10-Q,1357000000.0,76000000.0,80000000.0,68.34,68.34,0.0,4427000000.0,2485000000.0,652000000.0,151000000.0,3008000000.0,246000000.0,-114000000.0,-31000000.0
LOV,2016-06-30,False,Q2,2016,10-Q,9098000.0,-140000.0,329000.0,0.01,0.01,0.0,28284000.0,4657000.0,9228000.0,3130000.0,16528000.0,-1658000.0,-1777000.0,
XPL,2016-06-30,False,Q2,2016,10-Q,,,-162000.0,-0.0,-0.0,0.0,17730000.0,17323000.0,273000.0,251000.0,17457000.0,-1000000.0,-16266000.0,-201000.0
TAT,2016-06-30,False,Q2,2016,10-Q,17698000.0,1343000.0,-6662000.0,-0.16,-0.16,0.0,230351000.0,40077000.0,74290000.0,1600000.0,51701000.0,11394000.0,-6720000.0,-10535000.0
XTNT,2016-06-30,False,Q2,2016,10-Q,21461570.0,-2122453.0,-4462575.0,-0.37,-0.37,0.0,141305786.0,43731238.0,25596565.0,2217405.0,-496338.0,-7750458.0,-4369562.0,7969409.0
