symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
VSR,2016-04-01,False,Q3,2016,10-Q,12600000.0,-21058000.0,-13285000.0,-1.34,-1.34,0.0,76043000.0,52671000.0,43985000.0,2992000.0,25775000.0,892000.0,-10919000.0,10902000.0
AGLE,2016-03-31,False,Q1,2016,10-Q,859000.0,-4567000.0,-4547000.0,-7.1,-7.1,0.0,35543000.0,35204000.0,3820000.0,24016000.0,-26610000.0,-3988000.0,-1192000.0,-98000.0
AMCC,2016-03-31,False,FY,2016,10-K,159287000.0,-35502000.0,-32571000.0,-0.39,-0.39,0.0,146292000.0,120033000.0,29461000.0,25065000.0,115038000.0,10785000.0,-23320000.0,1105000.0
DXLG,2016-04-30,False,Q1,2016,10-Q,107891000.0,1055000.0,214000.0,0.0,0.0,0.0,275749000.0,145409000.0,117856000.0,5853000.0,89310000.0,-4963000.0,-6132000.0,11778000.0
ECTE,2016-03-31,False,Q1,2016,10-Q,95535.0,-1656301.0,-2621228.0,-0.23,-0.23,0.0,986226.0,374934.0,5662275.0,42829.0,-4771584.0,-1811631.0,-137601.0,1935851.0
FLEX,2016-03-31,False,FY,2016,10-K,24418885000.0,,444081000.0,0.8,0.79,0.0,12384981000.0,8315126000.0,6572205000.0,1607570000.0,2605530000.0,1136445000.0,-1396376000.0,249642000.0
HRMN,2016-03-31,False,Q1,2016,10-Q,,-202301.0,-156205.0,-0.03,-0.03,0.0,117692675.0,205977.0,53193.0,157422.0,5228158.0,-167569.0,,
IDTI,2016-04-03,False,FY,2016,10-K,697376000.0,136639000.0,194737000.0,1.37,1.32,0.0,1099189000.0,498101000.0,107107000.0,203231000.0,676695000.0,192602000.0,-25513000.0,-81616000.0
ITUS,2016-04-30,False,Q2,2016,10-Q,,-1148387.0,-1271894.0,-0.15,-0.15,0.0,7205757.0,4801353.0,706930.0,2612321.0,2559759.0,-1884019.0,108890.0,18231.0
LLEX,2016-03-31,False,Q1,2016,10-Q,41717.0,-1684296.0,-3411419.0,-0.12,-0.12,0.0,4552969.0,1412861.0,19791012.0,29052.0,-17019960.0,-772865.0,-608105.0,1300000.0
PAVMU,2016-03-31,True,Q1,2016,10-Q,,,-696880.0,-0.06,-0.06,0.0,781297.0,326902.0,844259.0,236052.0,-62962.0,-518688.0,-12528.0,
