symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CUO,2016-01-02,False,FY,2015,10-K,136835000.0,2516000.0,1413000.0,0.85,0.85,0.0,75755000.0,46194000.0,21467000.0,547000.0,48416000.0,1558000.0,-2070000.0,384000.0
DPW,2015-12-31,True,FY,2015,10-K,7766000.0,-1003000.0,-1096000.0,-0.16,-0.16,0.0,5099000.0,4287000.0,1628000.0,1241000.0,3471000.0,-529000.0,-306000.0,
TOF,2016-01-02,False,FY,2015,10-K,13764000.0,-720000.0,-643000.0,-0.12,-0.12,0.0,3523000.0,3486000.0,1483000.0,55000.0,2024000.0,-280000.0,,-6000.0
BSET,2016-02-27,False,Q1,2016,10-Q,106873000.0,5791000.0,3234000.0,0.3,0.3,0.0,273654000.0,133642000.0,71036000.0,25113000.0,178233000.0,2420000.0,-8548000.0,-5027000.0
CRTN,2016-01-02,False,FY,2015,10-K,78344000.0,-6206000.0,-7691000.0,-0.68,-0.91,0.0,41359000.0,25814000.0,16401000.0,6879000.0,20643000.0,-2658000.0,-2753000.0,-586000.0
HOTR,2015-12-31,False,FY,2015,10-K,42396809.0,-11487916.0,-12136526.0,-0.86,0.0,0.0,42205206.0,3818576.0,16181082.0,1527886.0,21757133.0,-5367824.0,-10490651.0,17138750.0
CTCM,2015-12-31,False,FY,2015,10-K,6087000.0,,-490277000.0,-3.14,-3.14,0.17,378742000.0,255926000.0,44014000.0,209787000.0,334728000.0,24826000.0,186715000.0,-30871000.0
EGLE,2015-12-31,False,FY,2015,10-K,103856876.0,-135537564.0,-148296965.0,-3.94,-3.94,0.0,787038940.0,41025427.0,37914108.0,24896161.0,518344462.0,-43786769.0,10251871.0,18455772.0
EVLV,2016-01-30,False,FY,2015,10-K,693312000.0,-8738000.0,-12284000.0,-0.22,-0.22,0.0,265763000.0,199049000.0,115349000.0,11897000.0,76979000.0,-9411000.0,-20364000.0,21844000.0
GMAN,2016-01-30,False,FY,2015,10-K,648967000.0,-1329000.0,-4338000.0,-0.22,-0.22,3.6,230252000.0,137155000.0,115394000.0,6969000.0,34894000.0,8606000.0,-13638000.0,4367000.0
HRMN,2015-12-31,False,FY,2015,10-K,,-338531.0,-263187.0,-0.06,-0.06,0.0,117812946.0,371678.0,17259.0,324991.0,5426749.0,-433883.0,-117300000.0,118057759.0
HNSN,2015-06-30,True,Q2,2015,10-Q,3092000.0,-9974000.0,-48865000.0,-3.0,-3.0,0.0,65010000.0,56331000.0,7828000.0,40233000.0,22069000.0,-18968000.0,-124000.0,34881000.0
HNSN,2015-09-30,True,Q3,2015,10-Q,3183000.0,-8899000.0,-10227000.0,-0.54,-0.54,0.0,54705000.0,46261000.0,6569000.0,28882000.0,12861000.0,-30028000.0,-176000.0,34601000.0
HQY,2016-01-31,False,FY,2016,10-K,126786000.0,26143000.0,16613000.0,0.29,0.28,0.0,219795000.0,143048000.0,12106000.0,83641000.0,203457000.0,26541000.0,-90552000.0,36647000.0
INVE,2015-12-31,False,FY,2015,10-K,60794000.0,-35879000.0,-39144000.0,-3.62,-3.62,0.0,53896000.0,41274000.0,16216000.0,16667000.0,14190000.0,-23003000.0,-341000.0,2131000.0
IRIX,2016-01-02,False,FY,2015,10-K,41757000.0,288000.0,474000.0,0.05,0.05,0.0,41823000.0,30769000.0,7431000.0,9995000.0,33688000.0,-593000.0,-1298000.0,-1417000.0
