symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ESNC,2016-06-30,False,FY,2016,10-K,2100023.0,-18014673.0,-18262494.0,-0.39,-0.39,0.0,34271972.0,27380613.0,1861403.0,17189089.0,18037060.0,-12885467.0,-572553.0,19890331.0
TPC,2016-07-31,False,Q2,2017,10-Q,49532000.0,-46267000.0,217007000.0,2.84,2.84,0.0,154562000.0,55308000.0,133896000.0,30296000.0,-137186000.0,-31089000.0,-110457000.0,56073000.0
ABM,2016-07-31,False,Q3,2016,10-Q,1296900000.0,18500000.0,31100000.0,0.55,0.55,0.165,2239400000.0,946000000.0,588000000.0,51600000.0,997900000.0,72900000.0,-105900000.0,29100000.0
A,2016-07-31,False,Q3,2016,10-Q,1044000000.0,146000000.0,124000000.0,0.38,0.38,0.115,7734000000.0,3530000000.0,1151000000.0,2199000000.0,4346000000.0,559000000.0,-160000000.0,-212000000.0
AGX,2016-07-31,False,Q2,2017,10-Q,1064614000.0,34499000.0,19674000.0,1.32,1.29,0.0,481094000.0,423914000.0,223699000.0,162855000.0,257395000.0,112707000.0,-107612000.0,-3283000.0
BKS,2016-07-30,False,Q1,2017,10-Q,913882000.0,-21389000.0,-14619000.0,-0.2,-0.2,0.15,2048154000.0,1223328000.0,1247830000.0,14279000.0,570093000.0,27623000.0,-22802000.0,-4380000.0
BIG,2016-07-30,False,Q2,2016,10-Q,1203155000.0,38926000.0,22715000.0,0.51,0.5,0.21,1624660000.0,977043000.0,645755000.0,58369000.0,543498000.0,111500000.0,-45030000.0,-62245000.0
BOX,2016-07-31,False,Q2,2016,10-Q,95713000.0,-37919000.0,-38102000.0,-0.3,-0.3,0.0,432152000.0,272862000.0,217704000.0,173331000.0,100819000.0,-4879000.0,12000.0,-4443000.0
BKE,2016-07-30,False,Q2,2016,10-Q,212157000.0,24082000.0,15472000.0,0.32,0.32,0.0,579967000.0,373870000.0,95230000.0,168173000.0,430726000.0,44449000.0,-13149000.0,-24312000.0
CAL,2016-07-30,False,Q2,2016,10-Q,30589000.0,32258000.0,19768000.0,0.46,0.46,0.07,1420393000.0,989109000.0,500836000.0,165729000.0,614765000.0,108564000.0,-31221000.0,-30066000.0
CIEN,2016-07-31,False,Q3,2016,10-Q,670550000.0,57024000.0,33546000.0,0.24,0.23,0.0,3043658000.0,2150174000.0,1103276000.0,854918000.0,721559000.0,152809000.0,-302705000.0,215539000.0
