symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MOC,2016-03-31,False,FY,2016,10-K,133101689.0,-4200740.0,-2656323.0,-0.27,-0.27,0.0,36145862.0,27415406.0,16750690.0,1486854.0,18082710.0,-1276588.0,-56117.0,383720.0
JRJR,2015-12-31,False,FY,2015,10-K,113990000.0,-19756000.0,-13096000.0,-0.39,-0.39,0.0,82504000.0,39718000.0,38840000.0,6482000.0,10940000.0,-8357000.0,-10911000.0,23801000.0
MXC,2016-03-31,False,FY,2016,10-K,2421792.0,-4469755.0,-3979685.0,-1.95,-1.95,0.0,16467260.0,355322.0,,34013.0,9344011.0,175502.0,132427.0,-370000.0
NG,2016-05-31,False,Q2,2016,10-Q,,-7391000.0,-9138000.0,-0.03,-0.03,0.0,424135000.0,114166000.0,1981000.0,31743000.0,318758000.0,,-3130000.0,0.0
SHLM,2016-05-31,False,Q3,2016,10-Q,650439000.0,31588000.0,15522000.0,0.53,0.53,0.205,2248310000.0,816967000.0,449476000.0,47019000.0,587278000.0,95672000.0,-35841000.0,-107498000.0
AVAV,2016-04-30,False,FY,2016,10-K,264098000.0,9735000.0,8966000.0,0.39,0.39,0.0,410393000.0,349703000.0,46345000.0,124287000.0,361260000.0,551000.0,-16578000.0,-3096000.0
CAMP,2016-05-31,False,Q1,2017,10-Q,91147000.0,-2038000.0,-2659000.0,-0.07,-0.07,0.0,425589000.0,221891000.0,82640000.0,67490000.0,188826000.0,8322000.0,-80781000.0,561000.0
CASY,2016-04-30,False,FY,2016,10-K,7122086000.0,,225982000.0,5.79,5.73,0.88,2726148000.0,325885000.0,387571000.0,75775000.0,1083463000.0,464709000.0,-394968000.0,-42507000.0
CJJD,2016-03-31,False,FY,2016,10-K,89065580.0,-24766.0,447156.0,0.03,0.03,0.0,62072787.0,46883003.0,42120614.0,6671873.0,19315872.0,2585705.0,429808.0,-401892.0
