symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
WGA,2016-03-31,False,Q1,2016,10-Q,1948000.0,-722000.0,-719000.0,-0.06,-0.06,0.0,5311000.0,5285000.0,665000.0,3873000.0,4646000.0,-521000.0,0.0,
ADK,2016-03-31,False,Q1,2016,10-Q,7082000.0,445000.0,-3727000.0,-0.19,-0.19,0.0,163243000.0,20887000.0,57241000.0,2264000.0,-27394000.0,-1580000.0,4144000.0,-3020000.0
BKJ,2016-03-31,False,Q1,2016,10-Q,8146000.0,,1292000.0,0.21,0.21,0.0,793894000.0,,,61532000.0,74349000.0,1776000.0,-4002000.0,-10431000.0
AXN,2016-03-31,False,Q3,2016,10-Q,6563944.0,1526710.0,622720.0,0.01,0.01,0.0,58929011.0,29318565.0,38028384.0,6046327.0,20550284.0,-1965846.0,-96447.0,3267459.0
CUO,2016-04-02,False,Q1,2016,10-Q,34228000.0,852000.0,508000.0,0.31,0.31,0.0,76014000.0,44774000.0,21204000.0,413000.0,48924000.0,1436000.0,-870000.0,-700000.0
DSS,2016-03-31,False,Q1,2016,10-Q,4338986.0,-542158.0,-624022.0,-0.01,-0.01,0.0,14951490.0,4671838.0,8811805.0,1049535.0,3110659.0,-68663.0,-119619.0,-202439.0
DPW,2016-03-31,False,Q1,2016,10-Q,1713000.0,-200000.0,-193000.0,-0.03,-0.03,0.0,4927000.0,4095000.0,1663000.0,1158000.0,3264000.0,8000.0,-72000.0,
DGSE,2016-03-31,False,Q1,2016,10-Q,11774516.0,-575077.0,-690331.0,-0.06,-0.06,0.0,16440132.0,12086467.0,10929074.0,1521998.0,3197143.0,-178799.0,-14706.0,-37111.0
FPP,2016-03-31,False,Q1,2016,10-Q,584713.0,-797799.0,-860527.0,-0.1,-0.1,0.0,9588063.0,1665480.0,7868690.0,1064677.0,23486.0,-342345.0,-60257.0,
BDL,2016-04-02,False,Q2,2016,10-Q,26974000.0,1978000.0,874000.0,0.47,0.47,0.0,56854000.0,14918000.0,12278000.0,9860000.0,34786000.0,5340000.0,-2310000.0,-2437000.0
JOB,2016-03-31,False,Q2,2016,10-Q,21666000.0,260000.0,7000.0,0.0,0.0,0.0,45288000.0,14673000.0,17914000.0,2916000.0,22028000.0,683000.0,-9231000.0,5532000.0
GVP,2016-03-31,False,Q1,2016,10-Q,12976000.0,215000.0,138000.0,0.01,0.01,0.0,39628000.0,28816000.0,18989000.0,11225000.0,18806000.0,1640000.0,-119000.0,-1417000.0
HUSA,2016-03-31,False,Q1,2016,10-Q,48260.0,-343411.0,-339451.0,-0.01,-0.01,0.0,5149041.0,1997341.0,35172.0,1697793.0,5088469.0,-295045.0,-40603.0,-90079.0
HEB,2016-03-31,False,Q1,2016,10-Q,39000.0,-3679000.0,-2164000.0,-0.01,-0.01,0.0,21500000.0,9538000.0,3092000.0,1013000.0,18408000.0,-1043000.0,-60000.0,1000.0
IDN,2016-03-31,False,Q1,2016,10-Q,950668.0,-2148606.0,-2143491.0,-0.22,-0.22,0.0,16014446.0,5000558.0,2240479.0,4074267.0,13384343.0,-769212.0,-13170.0,-1096608.0
MLSS,2016-03-31,False,Q1,2016,10-Q,3569374.0,-943388.0,-750059.0,-0.03,-0.03,0.0,11606985.0,10656290.0,,2671778.0,8365462.0,-1389126.0,-133480.0,
NAVB,2016-03-31,False,Q1,2016,10-Q,4722555.0,-2568554.0,-3686008.0,-0.02,-0.02,0.0,12283681.0,10036124.0,57092835.0,5484083.0,-57160808.0,-1679637.0,-1847.0,-693.0
MGN,2016-03-31,False,Q1,2016,10-Q,,-1013579.0,-1063136.0,-0.03,-0.03,0.0,2312291.0,683200.0,514582.0,393244.0,1263043.0,-783184.0,,-26620.0
NSSI,2016-03-31,False,Q1,2016,10-Q,87000000.0,2423000.0,3820000.0,0.16,0.16,0.0,35155000.0,27150000.0,,20739000.0,32563000.0,118000.0,-2000.0,15000.0
OCX,2016-03-31,False,Q1,2016,10-Q,0.0,-2932000.0,-2928000.0,-0.12,-0.12,0.0,9647000.0,7897000.0,2752000.0,5856000.0,6895000.0,-2167000.0,-15000.0,42000.0
OGEN,2016-03-31,False,Q1,2016,10-Q,262258.0,-2063532.0,-2062885.0,-0.05,-0.05,0.0,3957132.0,3834768.0,1083231.0,3367647.0,2873901.0,-1681761.0,,-33947.0
PTN,2016-03-31,False,Q3,2016,10-Q,0.0,-12085748.0,-12696518.0,-0.08,-0.08,0.0,24914683.0,24642924.0,13088052.0,21767276.0,-4696728.0,-33664217.0,-1404717.0,29536942.0
RLGT,2016-03-31,False,Q3,2016,10-Q,173275508.0,-471781.0,-2230442.0,-0.05,-0.05,0.0,282625229.0,130513614.0,95910428.0,19796979.0,119660083.0,19176181.0,-4044349.0,-2660587.0
RVP,2016-03-31,False,Q1,2016,10-Q,5921982.0,-894169.0,-1115340.0,-0.04,-0.04,0.0,40275691.0,28673389.0,6864452.0,18095633.0,30062677.0,218079.0,-75650.0,-91840.0
SSN,2016-03-31,False,Q3,2016,10-Q,2006203.0,,-1252130.0,-0.04,-0.04,0.0,38779487.0,3473068.0,36684218.0,532552.0,-1451469.0,623853.0,-2389717.0,301975.0
SPP,2016-03-31,False,Q1,2016,10-Q,23169000.0,-178000.0,-10739000.0,-1.9,-3.91,0.0,459750000.0,29000000.0,7231000.0,5936000.0,,10432000.0,-1058000.0,-10009000.0
SGB,2016-03-31,False,Q1,2016,10-Q,5495572.0,,1047645.0,0.41,0.41,0.1,409089047.0,,,7741655.0,37520723.0,1455031.0,-7307836.0,-7865954.0
LOV,2016-03-31,False,Q1,2016,10-Q,9859000.0,-3482000.0,-3408000.0,-0.13,-0.13,0.0,30069000.0,6054000.0,11562000.0,4083000.0,15860000.0,-1411000.0,-1071000.0,
SIF,2016-03-31,False,Q2,2016,10-Q,29075000.0,-211000.0,-299000.0,-0.05,-0.05,0.0,148256000.0,67418000.0,38836000.0,952000.0,70249000.0,11763000.0,-1176000.0,-10325000.0
TOF,2016-04-02,False,Q1,2016,10-Q,3742000.0,141000.0,130000.0,0.03,0.03,0.0,4162000.0,4126000.0,1469000.0,94000.0,2179000.0,-460000.0,,499000.0
UAMY,2016-03-31,False,Q1,2016,10-Q,3322203.0,-182297.0,-188640.0,0.0,0.0,0.0,18458869.0,2326089.0,2948379.0,137664.0,12408813.0,252476.0,-245702.0,-2653.0
WTT,2016-03-31,False,Q1,2016,10-Q,5195742.0,-920651.0,-576327.0,-0.03,-0.03,0.0,34802905.0,23557077.0,2397028.0,9771590.0,32361275.0,227614.0,,-107557.0
ARA,2016-03-31,False,Q1,2016,10-Q,173554000.0,37476000.0,3756000.0,0.17,0.16,0.0,952449000.0,199479000.0,103634000.0,95965000.0,55009000.0,36561000.0,-16396000.0,-15188000.0
ARP,2016-03-31,False,Q1,2016,10-Q,103208000.0,13961000.0,9115000.0,89.08000000000001,89.08000000000001,0.0,1679497000.0,263814000.0,991748000.0,19285000.0,,-34919000.0,-13170000.0,66021000.0
CELP,2016-03-31,False,Q1,2016,10-Q,73474000.0,346000.0,-1361000.0,0.0,0.0,0.0,183854000.0,68543000.0,12038000.0,25850000.0,,10982000.0,-496000.0,-9177000.0
ACCP,2016-03-31,False,Q1,2016,10-Q,235000.0,-6160000.0,-5544000.0,-0.17,-0.17,0.0,77420000.0,37840000.0,7644000.0,37395000.0,65661000.0,-2516000.0,-227000.0,0.0
IOTS,2016-03-31,False,Q1,2016,10-Q,10176000.0,-1290000.0,-1540000.0,-0.1,-0.1,0.0,45790000.0,35374000.0,15676000.0,19170000.0,23735000.0,-2051000.0,-350000.0,-1500000.0
AEGR,2016-03-31,False,Q1,2016,10-Q,35716000.0,-58833000.0,-65554000.0,-2.22,-2.22,0.0,400424000.0,147139000.0,110403000.0,42718000.0,53478000.0,-21526000.0,-524000.0,-6000.0
AIMT,2016-03-31,False,Q1,2016,10-Q,,-15699000.0,-15523000.0,-0.37,-0.37,0.0,199929000.0,185231000.0,5319000.0,65045000.0,193398000.0,-11583000.0,-94000.0,45000.0
AKRX,2016-03-31,False,Q1,2016,10-Q,268347000.0,87579000.0,41886000.0,0.35,0.34,0.0,1855847000.0,530020000.0,194573000.0,140998000.0,666587000.0,8985000.0,-10918000.0,-203571000.0
GNOW,2016-03-31,False,Q1,2016,10-Q,5006000.0,-1560000.0,-1886000.0,-0.11,-0.11,0.0,18898000.0,5419000.0,20056000.0,1050000.0,-3620000.0,-1616000.0,-248000.0,285000.0
AETI,2016-03-31,False,Q1,2016,10-Q,8298000.0,-2654000.0,-2971000.0,-0.36,-0.36,0.0,36887000.0,17498000.0,9398000.0,7109000.0,15595000.0,-1636000.0,-113000.0,850000.0
EVH,2016-03-31,False,Q1,2016,10-Q,49449000.0,-175179000.0,-122812000.0,-2.91,-2.91,0.0,856463000.0,167566000.0,52545000.0,111292000.0,775662000.0,-20804000.0,-13655000.0,25000.0
ARCI,2016-04-02,False,Q1,2016,10-Q,25345000.0,-787000.0,-451000.0,-0.08,-0.08,0.0,45014000.0,32785000.0,29738000.0,2323000.0,11471000.0,2915000.0,-141000.0,-2419000.0
ARGS,2016-03-31,False,Q1,2016,10-Q,146429.0,-12330571.0,-12820188.0,-0.57,-0.57,0.0,42754040.0,15462599.0,14571086.0,13844405.0,-20170791.0,-9548314.0,-2684932.0,19906651.0
ACFC,2016-03-31,False,Q1,2016,10-Q,10757000.0,,1524000.0,0.1,0.1,0.0,892962000.0,,,5220000.0,82832000.0,2048000.0,-29953000.0,33417000.0
RILY,2016-03-31,False,Q1,2016,10-Q,19946000.0,1665000.0,248000.0,0.02,0.01,0.0,126147000.0,65497000.0,14955000.0,26786000.0,111192000.0,-1045000.0,-19000.0,-2187000.0
BHACU,2016-03-31,False,Q1,2016,10-Q,,-163574.0,-148429.0,-0.08,-0.08,0.0,43842580.0,180752.0,,110273.0,5000002.0,-89163.0,0.0,0.0
BASI,2016-03-31,False,Q2,2016,10-Q,5339000.0,-262000.0,-254000.0,-0.03,-0.03,0.0,23036000.0,5979000.0,13082000.0,453000.0,9901000.0,126000.0,-632000.0,521000.0
BLFS,2016-03-31,False,Q1,2016,10-Q,1852017.0,-1492432.0,-1226828.0,-0.1,-0.1,0.0,10775853.0,5306538.0,1479984.0,1662431.0,8529825.0,-1593483.0,1070529.0,12127.0
AJX,2016-03-31,False,Q1,2016,10-Q,11411000.0,,7637000.0,0.5,0.5,0.0,642684000.0,,,23893000.0,242204000.0,-4133000.0,-25129000.0,22360000.0
HHS,2016-03-31,False,Q1,2016,10-Q,110723000.0,-6369000.0,-5603000.0,-0.09,-0.09,0.09,394418000.0,125457000.0,86380000.0,11676000.0,129409000.0,6398000.0,-8069000.0,-3796000.0
BVSN,2016-03-31,False,Q1,2016,10-Q,2009000.0,-2680000.0,-2051000.0,-0.42,-0.42,0.0,29697000.0,29475000.0,5295000.0,7415000.0,23564000.0,-1748000.0,-341000.0,55000.0
CPHC,2016-03-31,False,Q1,2016,10-Q,10393311.0,522993.0,310752.0,0.07,0.07,0.0,47834277.0,13289462.0,9628459.0,9867465.0,33536484.0,2548114.0,-843293.0,-111468.0
NGVT,2016-03-31,False,Q1,2016,10-Q,203900000.0,36200000.0,8200000.0,0.19,0.2,0.0,793500000.0,311300000.0,102800000.0,22700000.0,533700000.0,-1000000.0,-11300000.0,2900000.0
CDNA,2016-03-31,False,Q1,2016,10-Q,6562000.0,-6569000.0,-9752000.0,-0.81,-0.81,0.0,48834000.0,27666000.0,14231000.0,23752000.0,20460000.0,-6192000.0,-109000.0,165000.0
CRTN,2016-04-02,False,Q1,2016,10-Q,20317000.0,-744000.0,-880000.0,-0.1,-0.1,0.0,39337000.0,24105000.0,16132000.0,3074000.0,19406000.0,-3053000.0,-558000.0,0.0
CLSN,2016-03-31,False,Q1,2016,10-Q,2875000.0,-5178696.0,-5716467.0,-0.24,-0.24,0.0,43329287.0,14682197.0,9563001.0,14310542.0,15309020.0,-4744121.0,10778012.0,-988493.0
JAX,2016-04-03,False,Q1,2016,10-Q,56879000.0,3172000.0,2290000.0,0.15,0.15,0.0,151405000.0,15496000.0,16745000.0,10603000.0,101378000.0,927000.0,-3045000.0,-703000.0
CETX,2016-03-31,False,Q2,2016,10-Q,18908100.0,895086.0,829896.0,0.1,0.1,0.0,38029124.0,22572998.0,15385299.0,3281703.0,10486031.0,1865210.0,-7503929.0,7433685.0
CERC,2016-03-31,False,Q1,2016,10-Q,,-4942366.0,-5140013.0,-0.59,-0.59,0.0,16929341.0,16892014.0,6172010.0,16601641.0,8881022.0,-3706560.0,-8898.0,-844868.0
HOTR,2016-03-31,False,Q1,2016,10-Q,11617718.0,-1574685.0,-1425364.0,-0.07,-0.07,0.0,41387666.0,3307288.0,17776675.0,1178000.0,20369452.0,109177.0,-329190.0,-134341.0
CALI,2016-03-31,False,Q1,2016,10-Q,137391006.0,73530.0,-1060917.0,-0.26,-0.26,0.0,296469267.0,234527270.0,266373118.0,5160437.0,20869359.0,2813032.0,-111873.0,-4680127.0
CBAK,2016-03-31,False,Q2,2016,10-Q,3198913.0,-1930491.0,-1903158.0,-0.11,-0.11,0.0,67543050.0,19003512.0,42643791.0,1594897.0,17986340.0,2041525.0,-8139349.0,1022618.0
CCCR,2016-03-31,False,Q1,2016,10-Q,1521497.0,,1130476.0,0.091,0.091,0.0,21484845.0,,81480.0,250267.0,2014285.0,-155375.0,2697663.0,-2599210.0
CREG,2016-03-31,False,Q1,2016,10-Q,6761.0,4390751.0,93026.0,0.0,0.0,0.0,301192104.0,77856648.0,56165156.0,34559148.0,214818731.0,7807195.0,817914.0,-15944637.0
CNET,2016-03-31,False,Q1,2016,10-Q,5012000.0,-1408000.0,-1411000.0,-0.05,-0.05,0.0,34851000.0,18801000.0,7524000.0,3744000.0,26973000.0,443000.0,-2204000.0,
CHYI,2016-03-31,False,Q1,2016,10-Q,3497661.0,-3110368.0,-5380773.0,-1.37,-1.37,0.0,217038424.0,6494359.0,11735489.0,3818204.0,76546929.0,-3458627.0,-345400.0,2134619.0
CWS,2016-03-31,False,Q1,2016,10-Q,4919491.0,-677637.0,-844093.0,-0.21,-0.21,0.0,93813844.0,40023794.0,13462257.0,18948981.0,80351587.0,129645.0,-9332.0,-87163.0
CBLI,2016-03-31,False,Q1,2016,10-Q,812500.0,-2312306.0,-667936.0,-0.06,-0.06,0.0,19803232.0,19669756.0,4854625.0,10594828.0,14948607.0,-2256743.0,6350389.0,539998.0
