symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AIII,2016-06-30,False,Q2,2016,10-Q,,,-1184036.0,-0.06,-0.06,0.0,22771786.0,,,18277099.0,21667092.0,-1597816.0,,
AE,2016-06-30,False,Q2,2016,10-Q,293163000.0,5601000.0,3404000.0,0.81,0.81,0.22,251526000.0,189919000.0,87540000.0,90771000.0,155488000.0,6152000.0,-5402000.0,-1856000.0
AINC,2016-06-30,False,Q2,2016,10-Q,18152000.0,-2192000.0,-1106000.0,-0.55,-0.71,0.0,126312000.0,109613000.0,24518000.0,86432000.0,87437000.0,77314000.0,1040000.0,-42194000.0
BTX,2016-06-30,False,Q2,2016,10-Q,1266000.0,-14403000.0,24549000.0,0.26,0.26,0.0,104327000.0,31047000.0,7403000.0,27702000.0,94052000.0,-24559000.0,-10016000.0,19731000.0
ROX,2016-06-30,False,Q1,2017,10-Q,16750925.0,-158669.0,-765819.0,-0.0,-0.0,0.0,50917395.0,41634066.0,12562846.0,329873.0,23498307.0,-927412.0,-141375.0,-31121.0
CVM,2016-06-30,False,Q3,2016,10-Q,126501.0,-6382747.0,-3849324.0,-0.03,-0.03,0.0,14480620.0,8576974.0,5281512.0,5218960.0,-3773823.0,-16218596.0,-36413.0,15747287.0
CQH,2016-06-30,False,Q2,2016,10-Q,151171000.0,,4441000.0,0.02,0.02,0.02,885000.0,885000.0,136000.0,559000.0,749000.0,-1259000.0,,-9268000.0
CQP,2016-06-30,False,Q2,2016,10-Q,151171000.0,12594000.0,-100125000.0,-0.21,-0.21,0.0,14258850000.0,645986000.0,2164926000.0,12262000.0,,11764000.0,-7144000.0,-138579000.0
LNG,2016-06-30,False,Q2,2016,10-Q,176827000.0,-76454000.0,-298418000.0,-1.31,-1.31,0.0,21436851000.0,1990482000.0,2414521000.0,1049478000.0,864167000.0,-144034000.0,-19257000.0,11657000.0
CMT,2016-06-30,False,Q2,2015,10-Q,39006000.0,2307000.0,1460000.0,0.19,0.19,0.0,134545000.0,59456000.0,22703000.0,20364000.0,93399000.0,15411000.0,-1626000.0,-2364000.0
ESTE,2016-06-30,False,Q2,2016,10-Q,9810000.0,-6433000.0,-11172000.0,-0.69,-0.69,0.0,327977000.0,35487000.0,31226000.0,18870000.0,275665000.0,-12131000.0,-38127000.0,45864000.0
EGAS,2016-06-30,False,Q2,2016,10-Q,17033000.0,-1981000.0,-1657000.0,-0.16,-0.16,0.075,189670000.0,26187000.0,73479000.0,8156000.0,95005000.0,14676000.0,-3353000.0,-5886000.0
AUMN,2016-06-30,False,Q2,2016,10-Q,1576000.0,-2624000.0,-3889000.0,-0.05,-0.05,0.0,15443000.0,5601000.0,1767000.0,3932000.0,8772000.0,-3774000.0,30000.0,3599000.0
GSB,2016-06-30,False,Q2,2016,10-Q,8256000.0,1406000.0,954000.0,0.05,0.04,0.015,44851000.0,26782000.0,13564000.0,16990000.0,27425000.0,2457000.0,-992000.0,-360000.0
IEC,2016-07-01,False,Q3,2016,10-Q,32508000.0,1988000.0,1605000.0,0.16,0.16,0.0,56862000.0,41154000.0,23767000.0,603000.0,13569000.0,12250000.0,-2165000.0,-9889000.0
HCHC,2016-06-30,False,Q2,2016,10-Q,359293000.0,5619000.0,686000.0,0.02,0.02,0.0,2845325000.0,,,134510000.0,166533000.0,46219000.0,-65765000.0,-4236000.0
HUSA,2016-06-30,False,Q2,2016,10-Q,33887.0,-492202.0,-490406.0,-0.01,-0.01,0.0,4694884.0,1537028.0,32950.0,1248762.0,4636396.0,-713669.0,-71010.0,-90079.0
NSPR,2016-06-30,False,Q2,2016,10-Q,540000.0,-1800000.0,-1980000.0,-0.19,-0.19,0.0,3020000.0,1875000.0,7451000.0,885000.0,-5093000.0,-2659000.0,110000.0,180000.0
INFU,2016-06-30,False,Q2,2016,10-Q,19066000.0,1381000.0,724000.0,0.03,0.03,0.0,100267000.0,23804000.0,13845000.0,805000.0,52940000.0,1869000.0,-5360000.0,3478000.0
MSTX,2016-06-30,False,Q2,2016,10-Q,0.0,-10221000.0,-10706000.0,-0.05,-0.05,0.0,47676000.0,35818000.0,25363000.0,24490000.0,16426000.0,-18969000.0,7364000.0,13043000.0
MXC,2016-06-30,False,Q1,2017,10-Q,670183.0,-252185.0,-293456.0,-0.14,-0.14,0.0,16346073.0,564141.0,,37229.0,9069156.0,-24243.0,87459.0,-60000.0
