symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
BRN,2015-12-31,False,Q1,2016,10-Q,1851000.0,200000.0,-1409000.0,-0.17,-0.17,0.0,38047000.0,21989000.0,8402000.0,5837000.0,17804000.0,-2420000.0,-216000.0,27000.0
EVI,2015-12-31,False,Q2,2016,10-Q,8604796.0,607803.0,379173.0,0.05,0.05,0.0,9644720.0,9449485.0,5759715.0,4595858.0,3885005.0,2095193.0,-1563.0,-1406746.0
ESP,2015-12-31,False,Q2,2016,10-Q,7242020.0,833085.0,614427.0,0.27,0.27,0.25,33456622.0,31093586.0,2193576.0,9547218.0,31084573.0,3818117.0,-1147250.0,-1983054.0
IEC,2016-01-01,False,Q1,2015,10-Q,32933000.0,1832000.0,1543000.0,0.15,0.15,0.0,63921000.0,48091000.0,25906000.0,85000.0,10225000.0,1604000.0,-685000.0,-1241000.0
INUV,2015-12-31,False,FY,2015,10-K,70438116.0,2146973.0,2339774.0,0.1,0.1,0.0,28732526.0,11620447.0,13249760.0,4257204.0,10960444.0,6106272.0,-1525888.0,-4037705.0
MXC,2015-12-31,False,Q3,2016,10-Q,544870.0,-2549990.0,-2445536.0,-1.2,-1.2,0.0,17284230.0,335898.0,,35423.0,9756304.0,365179.0,-325840.0,-100000.0
PTN,2015-12-31,False,Q2,2016,10-Q,0.0,-12628424.0,-13249684.0,-0.08,-0.08,0.0,35394031.0,35084297.0,9959433.0,31990606.0,7475420.0,-23447401.0,-1404717.0,29543456.0
TLR,2015-12-31,False,Q1,2016,10-Q,,,-783919.0,-0.06,-0.06,0.0,16777906.0,63771.0,647241.0,42952.0,15990274.0,-436018.0,-21995.0,0.0
MMM,2015-12-31,False,FY,2015,10-K,30274000000.0,6946000000.0,4833000000.0,7.72,7.58,3.075,32718000000.0,10986000000.0,7118000000.0,1798000000.0,11747000000.0,6420000000.0,-2817000000.0,-3648000000.0
GAS,2015-12-31,False,FY,2015,10-K,3941000000.0,746000000.0,353000000.0,2.95,2.94,2.04,14754000000.0,2115000000.0,3000000000.0,19000000.0,3975000000.0,1381000000.0,-1027000000.0,-366000000.0
AYR,2015-12-31,False,FY,2015,10-K,819202000.0,,120805000.0,1.5,1.5,0.9,6569964000.0,,,155904000.0,1779500000.0,526285000.0,-864662000.0,324625000.0
