symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ESP,2015-12-31,False,Q2,2016,10-Q,7242020.0,833085.0,614427.0,0.27,0.27,0.25,33456622.0,31093586.0,2193576.0,9547218.0,31084573.0,3818117.0,-1147250.0,-1983054.0
TRT,2015-12-31,False,Q2,2016,10-Q,8354000.0,328000.0,190000.0,0.05,0.05,0.0,30490000.0,14128000.0,7918000.0,4370000.0,18368000.0,1349000.0,-196000.0,-299000.0
MMM,2015-12-31,False,FY,2015,10-K,30274000000.0,6946000000.0,4833000000.0,7.72,7.58,3.075,32718000000.0,10986000000.0,7118000000.0,1798000000.0,11747000000.0,6420000000.0,-2817000000.0,-3648000000.0
ACM,2015-12-31,False,Q1,2016,10-Q,4297651000.0,96444000.0,-20367000.0,-0.13,-0.13,0.0,13529403000.0,5896574000.0,4755094000.0,658044000.0,3518895000.0,78055000.0,39987000.0,-138244000.0
GAS,2015-12-31,False,FY,2015,10-K,3941000000.0,746000000.0,353000000.0,2.95,2.94,2.04,14754000000.0,2115000000.0,3000000000.0,19000000.0,3975000000.0,1381000000.0,-1027000000.0,-366000000.0
AYR,2015-12-31,False,FY,2015,10-K,819202000.0,,120805000.0,1.5,1.5,0.9,6569964000.0,,,155904000.0,1779500000.0,526285000.0,-864662000.0,324625000.0
ALK,2015-12-31,False,FY,2015,10-K,5598000000.0,1298000000.0,848000000.0,6.61,6.56,0.8,6533000000.0,1663000000.0,1806000000.0,73000000.0,2411000000.0,1584000000.0,-930000000.0,-688000000.0
AB,2015-12-31,False,FY,2015,10-K,2214077000.0,,188178000.0,1.89,1.89,0.0,1589965000.0,,,0.0,,192789000.0,-9233000.0,-183556000.0
AJG,2015-12-31,False,FY,2015,10-K,5392400000.0,,356800000.0,2.07,2.06,1.48,10913800000.0,4335800000.0,4191700000.0,480400000.0,3688200000.0,652600000.0,-461600000.0,-9900000.0
AN,2015-12-31,False,FY,2015,10-K,20862000000.0,873100000.0,442600000.0,3.93,3.89,0.0,9558300000.0,4711400000.0,5169100000.0,74100000.0,2349300000.0,507200000.0,-509400000.0,900000.0
ATEC,2015-06-30,False,Q2,2015,10-Q,46633000.0,-2827000.0,-3947000.0,0.0,-0.04,0.0,314172000.0,100074000.0,122365000.0,8898000.0,133587000.0,3398000.0,-7256000.0,-7358000.0
AMRK,2015-12-31,False,Q2,2016,10-Q,1529143000.0,,1331000.0,0.19,0.19,0.0,363079000.0,347572000.0,300699000.0,3375000.0,62068000.0,-30699000.0,-12736000.0,25883000.0
ATEC,2015-09-30,False,Q3,2015,10-Q,42996000.0,-164948000.0,-160265000.0,-1.61,-1.61,0.0,148384000.0,100275000.0,118814000.0,10502000.0,-26154000.0,5566000.0,-8738000.0,-6549000.0
GOOG/GOOGL,2015-12-31,False,FY,2015,10-K,74989000000.0,19360000000.0,15826000000.0,93.96,92.86,0.0,147461000000.0,90114000000.0,19310000000.0,16549000000.0,120331000000.0,26024000000.0,-23711000000.0,-3677000000.0
BA,2015-12-31,False,FY,2015,10-K,96114000000.0,7443000000.0,5176000000.0,7.52,7.44,3.82,94408000000.0,68234000000.0,50412000000.0,11302000000.0,6397000000.0,9363000000.0,-1846000000.0,-7920000000.0
BWA,2015-12-31,False,FY,2015,10-K,8023200000.0,939700000.0,609700000.0,2.72,2.7,0.52,8841500000.0,3135300000.0,2357300000.0,577700000.0,3631500000.0,867900000.0,-1759100000.0,736600000.0
BERY,2016-01-02,False,Q1,2016,10-Q,1612000000.0,86000000.0,4000000.0,0.03,0.03,0.0,7710000000.0,1692000000.0,1046000000.0,282000000.0,-79000000.0,191000000.0,-2375000000.0,2240000000.0
CPN,2015-12-31,False,FY,2015,10-K,6472000000.0,2000000.0,235000000.0,0.65,0.64,0.0,18833000000.0,4095000000.0,3048000000.0,906000000.0,3167000000.0,863000000.0,-841000000.0,167000000.0
APDN,2015-12-31,False,Q1,2016,10-Q,1324114.0,-2920528.0,-2926270.0,-0.13,-0.13,0.0,20484518.0,16494259.0,2168521.0,12382907.0,17995597.0,-2720746.0,-66096.0,7857565.0
ASTC,2015-12-31,False,Q2,2016,10-Q,927000.0,-2702000.0,-2526000.0,-0.12,-0.12,0.0,37627000.0,28287000.0,1892000.0,2145000.0,35605000.0,-6864000.0,6796000.0,-117000.0
