symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ESP,2016-06-30,False,FY,2016,10-K,27471365.0,4343233.0,3175801.0,1.39,1.38,1.0,34452917.0,32104392.0,1861442.0,10031644.0,32388238.0,5759602.0,-1699359.0,-2888004.0
EPM,2016-06-30,False,FY,2016,10-K,26349502.0,1665187.0,23986060.0,0.73,0.73,0.0,97451051.0,37086450.0,8528908.0,34077060.0,76321150.0,30653193.0,-17630298.0,935408.0
ISR,2016-06-30,False,FY,2016,10-K,4769276.0,-5082003.0,-4721440.0,-0.09,-0.09,0.0,18101850.0,13629241.0,1093317.0,10139026.0,16401053.0,-3884000.0,8756978.0,39308.0
CFI,2016-07-31,False,Q1,2017,10-Q,80682000.0,8673000.0,5313000.0,0.43,0.43,0.21,183360000.0,121098000.0,34583000.0,45549000.0,131435000.0,5752000.0,-1719000.0,3733000.0
EMES,2016-03-31,False,Q1,2016,10-Q,29670000.0,-29828000.0,-34215000.0,-1.41,-1.41,0.0,377962000.0,73784000.0,26017000.0,11361000.0,,-2291000.0,-4913000.0,-2305000.0
EMES,2016-06-30,False,Q2,2016,10-Q,24825000.0,-22868000.0,-22897000.0,-0.95,-0.95,0.0,383249000.0,72245000.0,33376000.0,3158000.0,,-13032000.0,-11012000.0,6332000.0
HOV,2016-07-31,False,Q3,2016,10-Q,716850000.0,,-474000.0,0.0,0.0,0.0,2388841000.0,,,190042000.0,-151943000.0,194556000.0,-36176000.0,-222083000.0
KFY,2016-07-31,False,Q1,2017,10-Q,392933000.0,4516000.0,3164000.0,0.06,0.06,0.1,1925363000.0,671400000.0,355306000.0,244073000.0,1036342000.0,-136038000.0,-9796000.0,126622000.0
NMBL,2016-07-31,False,Q2,2017,10-Q,97111000.0,-39320000.0,-39950000.0,-0.47,-0.47,0.0,321544000.0,269390000.0,122005000.0,194218000.0,126618000.0,-12367000.0,-11784000.0,7169000.0
OOMA,2016-07-31,False,Q2,2017,10-Q,25494000.0,-3413000.0,-3340000.0,-0.19,-0.19,0.0,73159000.0,66554000.0,31432000.0,6712000.0,41502000.0,-584000.0,-20179000.0,62000.0
XTLY,2016-07-31,False,Q2,2017,10-Q,23964000.0,-4152000.0,-4321000.0,-0.14,-0.14,0.0,88432000.0,71525000.0,67779000.0,45163000.0,7720000.0,-2719000.0,-1253000.0,1110000.0
AEPI,2016-07-31,False,Q3,2016,10-Q,283689000.0,13771000.0,6269000.0,1.23,1.22,0.25,469393000.0,271815000.0,121008000.0,63437000.0,114298000.0,64346000.0,-13485000.0,-7589000.0
ANCB,2016-06-30,False,FY,2016,10-K,21729000.0,,495000.0,0.2,0.2,0.0,431504000.0,,,8320000.0,63196000.0,2996000.0,-59152000.0,50026000.0
AGTC,2016-06-30,False,FY,2016,10-K,47361000.0,-2089000.0,-1381000.0,-0.08,-0.08,0.0,180797000.0,102575000.0,54743000.0,28868000.0,109288000.0,70991000.0,-100804000.0,19494000.0
ARCW,2016-06-30,False,FY,2016,10-K,103840000.0,2155000.0,-2314000.0,-0.13,-0.13,0.0,121798000.0,41002000.0,32961000.0,3620000.0,44543000.0,6466000.0,-2625000.0,-4999000.0
AVNW,2016-07-01,False,FY,2016,10-K,268690000.0,-27446000.0,-29907000.0,-5.81,-5.81,0.0,166111000.0,140414000.0,99947000.0,30479000.0,53457000.0,-126000.0,-1796000.0,13000.0
DLTH,2016-07-31,False,Q2,2016,10-Q,65823000.0,5986000.0,3619000.0,0.11,0.11,0.0,133442000.0,95851000.0,33576000.0,23302000.0,97917000.0,1072000.0,-15307000.0,-336000.0
FHB,2016-06-30,False,Q2,2016,10-Q,173432000.0,,54860000.0,0.39,0.39,0.0,19052593000.0,,,356148000.0,2501008000.0,139838000.0,-943375000.0,-514644000.0
FNWB,2016-06-30,False,FY,2016,10-K,38349000.0,,3992000.0,0.33,0.33,0.0,1010102000.0,,,12841000.0,189741000.0,10582000.0,-93078000.0,60116000.0
GFN,2016-06-30,False,FY,2016,10-K,285851000.0,14383000.0,-9025000.0,-0.35,-0.35,0.0,675813000.0,,,9342000.0,224612000.0,48822000.0,-35378000.0,-5577000.0
HOFT,2016-07-31,False,Q2,2017,10-Q,136163000.0,8224000.0,5334000.0,0.46,0.46,0.1,296721000.0,187762000.0,52394000.0,39111000.0,182460000.0,24101000.0,-87076000.0,48164000.0
HOV,2016-07-31,False,Q3,2016,10-Q,716850000.0,,-474000.0,0.0,0.0,0.0,2388841000.0,,,190042000.0,-151943000.0,194556000.0,-36176000.0,-222083000.0
KTCC,2016-07-02,False,FY,2016,10-K,484965000.0,10416000.0,6533000.0,0.61,0.58,0.0,235924000.0,181459000.0,84110000.0,1018000.0,105582000.0,4580000.0,-5665000.0,1731000.0
KLXI,2016-07-31,False,Q2,2016,10-Q,391400000.0,35000000.0,9600000.0,0.18,0.18,0.0,3704800000.0,1941000000.0,245700000.0,250400000.0,2228300000.0,77400000.0,-246800000.0,-8000000.0
MBUU,2016-06-30,False,FY,2016,10-K,252965000.0,35904000.0,18042000.0,1.01,1.0,0.0,220530000.0,64714000.0,47829000.0,25921000.0,18233000.0,35602000.0,-5990000.0,-12022000.0
MFRM,2016-08-02,False,Q2,2016,10-Q,980011000.0,22495000.0,-2199000.0,-0.06,-0.06,0.0,2539462000.0,472103000.0,513285000.0,13587000.0,477217000.0,81089000.0,-706594000.0,637314000.0
MCFT,2016-06-30,False,FY,2016,10-K,221600000.0,22011000.0,10210000.0,0.57,0.56,0.0,82533000.0,18092000.0,44381000.0,73000.0,-8379000.0,30747000.0,-3817000.0,-28024000.0
MFRI,2016-07-31,False,Q2,2016,10-Q,22859000.0,-1840000.0,449000.0,-0.11,-0.11,0.0,109427000.0,64526000.0,32325000.0,11612000.0,64659000.0,481000.0,8158000.0,-13762000.0
OPTT,2016-07-31,False,Q1,2017,10-Q,202389.0,-3079827.0,-3827447.0,-1.72,-1.72,0.0,13125053.0,12552867.0,9147758.0,9024512.0,3333022.0,-2920884.0,3857.0,5224695.0
PRXL,2016-06-30,False,FY,2016,10-K,2426300000.0,224000000.0,154900000.0,2.9,2.86,0.0,2036200000.0,1181200000.0,769400000.0,248600000.0,633400000.0,261300000.0,-162800000.0,-45500000.0
PRCP,2016-06-30,False,FY,2016,10-K,69135000.0,-9384000.0,-22113000.0,-2.36,-2.36,0.0,67922000.0,46709000.0,25383000.0,6787000.0,38554000.0,-5448000.0,665000.0,-8000.0
PERF,2016-07-30,False,Q2,2016,10-Q,97020000.0,-9342000.0,-11016000.0,-0.71,-0.71,0.0,342890000.0,262320000.0,63267000.0,2284000.0,66592000.0,-12344000.0,-1271000.0,10259000.0
PROV,2016-06-30,False,FY,2016,10-K,76365000.0,,7474000.0,0.9,0.88,0.48,1171381000.0,,,51206000.0,133451000.0,47735000.0,-63922000.0,-14010000.0
SHOR,2016-06-30,False,FY,2016,10-K,360284000.0,-2135000.0,-4792000.0,-0.07,-0.07,0.0,342338000.0,166969000.0,114936000.0,61726000.0,202729000.0,35086000.0,-63693000.0,8171000.0
VALU,2016-07-31,False,Q1,2017,10-Q,8521000.0,8137000.0,6358000.0,0.65,0.65,0.17,91047000.0,28411000.0,27627000.0,21395000.0,38924000.0,-2057000.0,12524000.0,-2194000.0
WPCS,2016-07-31,False,Q1,2017,10-Q,3416453.0,-592707.0,557181.0,0.21,0.14,0.0,7152679.0,6829180.0,4238860.0,1939900.0,2804986.0,-235132.0,-30803.0,-29762.0
