symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MOC,2016-03-31,False,FY,2016,10-K,133101689.0,-4200740.0,-2656323.0,-0.27,-0.27,0.0,36145862.0,27415406.0,16750690.0,1486854.0,18082710.0,-1276588.0,-56117.0,383720.0
JRJR,2015-12-31,False,FY,2015,10-K,113990000.0,-19756000.0,-13096000.0,-0.39,-0.39,0.0,82504000.0,39718000.0,38840000.0,6482000.0,10940000.0,-8357000.0,-10911000.0,23801000.0
NG,2016-05-31,False,Q2,2016,10-Q,,-7391000.0,-9138000.0,-0.03,-0.03,0.0,424135000.0,114166000.0,1981000.0,31743000.0,318758000.0,,-3130000.0,0.0
