symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CAFD,2016-05-31,False,Q2,2016,10-Q,13517000.0,3885000.0,10022000.0,0.5,0.5,0.0,1175165000.0,39631000.0,10685000.0,19995000.0,744522000.0,13627000.0,-115638000.0,65225000.0
EGHT,2016-03-31,True,FY,2016,10-K,209336000.0,-7074000.0,-5120000.0,-0.06,-0.06,0.0,313452000.0,185900000.0,34734000.0,33576000.0,275306000.0,23567000.0,-36295000.0,-7248000.0
BBSI,2016-03-31,False,Q1,2016,10-Q,190968000.0,-12266000.0,-8003000.0,-1.11,-1.11,0.22,565645000.0,278302000.0,308317000.0,43464000.0,45652000.0,-7817000.0,27407000.0,-1344000.0
BSET,2016-05-28,False,Q2,2016,10-Q,106667000.0,5853000.0,3385000.0,0.31,0.31,0.0,276247000.0,134921000.0,69289000.0,29726000.0,180933000.0,11010000.0,-13539000.0,-4013000.0
DTRM,2016-03-31,False,FY,2016,10-K,26760000.0,,-15148000.0,-1.34,-1.34,0.0,44213000.0,18034000.0,24247000.0,9418000.0,10907000.0,-5927000.0,-2348000.0,4631000.0
ITRI,2015-12-31,False,FY,2015,10-K,1883533000.0,52846000.0,12678000.0,0.33,0.33,0.0,1681363000.0,758940000.0,477774000.0,131018000.0,622703000.0,73350000.0,-48951000.0,7740000.0
