symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ACN,2016-05-31,False,Q3,2016,10-Q,8969044000.0,1305943000.0,897247000.0,1.44,1.41,1.1,19191047000.0,11576011000.0,8161133000.0,3497878000.0,7706558000.0,2519676000.0,-547878000.0,-2808795000.0
BKS,2016-04-30,False,FY,2016,10-K,4163844000.0,14656000.0,-35309000.0,-0.49,-0.49,0.6,2012782000.0,1178390000.0,1193871000.0,13838000.0,603510000.0,195687000.0,-94274000.0,-47758000.0
FUL,2016-05-28,False,Q2,2016,10-Q,532514000.0,54572000.0,33331000.0,0.66,0.65,0.14,2066775000.0,824704000.0,394150000.0,146022000.0,924303000.0,82603000.0,-43973000.0,-12432000.0
HLI,2016-03-31,False,FY,2016,10-K,693765000.0,126400000.0,69741000.0,1.18,1.1,0.3,1070884000.0,,,166169000.0,651160000.0,13519000.0,179553000.0,-116008000.0
MEI,2016-04-30,False,FY,2016,10-K,809100000.0,109700000.0,84600000.0,2.21,2.2,0.36,655900000.0,496200000.0,117900000.0,227800000.0,470100000.0,110700000.0,-21600000.0,-28700000.0
