symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
SSN,2016-06-30,False,FY,2016,10-K,9002355.0,,-12633909.0,-0.43,-0.43,0.0,52042990.0,19067165.0,23168196.0,2654812.0,5191473.0,1931977.0,-18003433.0,16733259.0
SSY,2016-06-30,False,FY,2016,10-K,63433000.0,-6523000.0,-14083000.0,-1.49,-1.49,0.0,44841000.0,17901000.0,20590000.0,3261000.0,19489000.0,-426000.0,-1430000.0,-857000.0
TRT,2016-06-30,False,FY,2016,10-K,34454000.0,788000.0,779000.0,0.22,0.22,0.0,32219000.0,15340000.0,8861000.0,3807000.0,19257000.0,1014000.0,-1580000.0,235000.0
UUU,2016-03-31,False,FY,2016,10-K,13740840.0,-1366178.0,-2137792.0,-0.92,-0.92,0.0,18510039.0,6585745.0,2122144.0,362728.0,16387895.0,-822957.0,822367.0,313891.0
CMN,2016-07-31,False,FY,2016,10-K,664755000.0,97251000.0,59465000.0,1.44,1.44,0.12,694532000.0,222742000.0,96335000.0,28367000.0,454370000.0,80268000.0,-112982000.0,29942000.0
DLR,2015-12-31,False,FY,2015,10-K,1763336000.0,401911000.0,217266000.0,1.57,1.56,0.0,11451267000.0,,,57053000.0,4536502000.0,799232000.0,-2526022000.0,1749029000.0
ASTC,2016-06-30,False,FY,2016,10-K,2671000.0,-13838000.0,-13095000.0,-0.64,-0.64,0.0,30523000.0,22923000.0,1800000.0,4399000.0,28627000.0,-13324000.0,15533000.0,-140000.0
BSET,2016-08-27,False,Q3,2016,10-Q,104712000.0,7540000.0,4165000.0,0.39,0.38,0.0,275499000.0,135410000.0,67708000.0,28051000.0,182165000.0,18965000.0,-18323000.0,-8859000.0
BEBE,2016-07-02,False,FY,2016,10-K,393594000.0,-24178000.0,-27481000.0,-0.34,-0.34,0.0,179445000.0,103261000.0,32773000.0,55525000.0,128604000.0,-38641000.0,47467000.0,16000.0
FGP,2016-07-31,False,FY,2016,10-K,2039367000.0,-534244000.0,-665415000.0,3.3400000000000003,-6.68,2.05,1683306000.0,285115000.0,362177000.0,4965000.0,61820.0,194327000.0,-115859000.0,-81155000.0
CAMP,2016-08-31,False,Q2,2017,10-Q,90479000.0,3906000.0,521000.0,0.01,0.01,0.0,420159000.0,221083000.0,82204000.0,94705000.0,181195000.0,19316000.0,-54863000.0,-9087000.0
CADC,2016-06-30,False,FY,2016,10-K,53678660.0,-12650418.0,-15806014.0,-7.25,-7.25,0.0,95429137.0,90719343.0,74301407.0,1006970.0,21127730.0,5865898.0,4923410.0,-12307141.0
CTRV,2016-06-30,False,FY,2016,10-K,,-20805485.0,-16998638.0,-0.63,-0.63,0.0,13106712.0,7894985.0,5083547.0,7403940.0,1317580.0,-16555098.0,-502206.0,19898079.0
CPRT,2016-07-31,False,FY,2016,10-K,1268449000.0,406470000.0,270360000.0,2.36,2.21,0.0,1649820000.0,499306000.0,278783000.0,155849000.0,774456000.0,332498000.0,-172876000.0,-448496000.0
DYNT,2016-06-30,False,FY,2016,10-K,30411757.0,-1694846.0,-2274552.0,-0.84,-0.84,0.0,15272698.0,9754849.0,3934350.0,966183.0,5588010.0,-534977.0,-195946.0,-2228861.0
FONR,2016-06-30,False,FY,2016,10-K,73368210.0,,15724625.0,2.6,8.57,0.0,84887606.0,45559573.0,20613247.0,8528309.0,60776307.0,16617369.0,-5048855.0,-12489003.0
GCBC,2016-06-30,False,FY,2016,10-K,9249000.0,,8963000.0,1.06,1.06,0.37,868781000.0,,,15895000.0,74301000.0,13581000.0,-132439000.0,119215000.0
PEP,2016-09-03,False,Q3,2016,10-Q,16027000000.0,2821000000.0,1991000000.0,1.38,1.37,0.7525,73897000000.0,27099000000.0,20589000000.0,10256000000.0,12718000000.0,6595000000.0,-3031000000.0,-2386000000.0
KFFB,2016-06-30,False,FY,2016,10-K,12021000.0,,1501000.0,0.18,0.18,0.4,291871000.0,,,4297000.0,67515000.0,1446000.0,3934000.0,-5907000.0
LNDC,2016-08-28,False,Q1,2017,10-Q,132394000.0,5470000.0,3312000.0,0.12,0.12,0.0,343772000.0,87773000.0,53433000.0,8626000.0,216951000.0,6467000.0,-2122000.0,-5613000.0
OFED,2016-06-30,False,FY,2016,10-K,20398000.0,,5209000.0,0.91,0.9,0.4,485640000.0,,,4874000.0,85401000.0,8150000.0,-8942000.0,2276000.0
PAACU,2016-06-30,False,FY,2016,10-K,,-469484.0,-392286.0,-0.19,-0.19,0.0,60425961.0,548763.0,,461889.0,5000001.0,-376038.0,-59800000.0,60637927.0
RCON,2016-06-30,False,FY,2016,10-K,42728277.0,-39911129.0,-40882577.0,-7.23,-7.23,0.0,79450314.0,74322220.0,29850518.0,1817620.0,49599796.0,-42994.0,-18223.0,-1532653.0
SYMX,2016-06-30,False,FY,2016,10-K,5991000.0,-22535000.0,-23072000.0,-0.27,-0.27,0.0,55181000.0,17387000.0,14992000.0,13819000.0,40189000.0,-9435000.0,-799000.0,2050000.0
INTG,2016-06-30,False,FY,2016,10-K,72898000.0,5598000.0,-7136000.0,-2.99,-2.99,0.0,136110000.0,,,5404000.0,-73247000.0,8972000.0,-6978000.0,-5119000.0
THST,2016-06-30,False,FY,2016,10-K,25783000.0,-78000.0,-244000.0,-0.06,-0.06,0.0,33505000.0,27035000.0,14070000.0,4043000.0,16221000.0,1725000.0,-561000.0,1301000.0
UNFI,2016-07-30,False,FY,2016,10-K,8470286000.0,224109000.0,125766000.0,2.5,2.5,0.0,2852155000.0,1611190000.0,619722000.0,18593000.0,1519504000.0,296609000.0,-350915000.0,56346000.0
