symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
BRN,2015-12-31,False,Q1,2016,10-Q,1851000.0,200000.0,-1409000.0,-0.17,-0.17,0.0,38047000.0,21989000.0,8402000.0,5837000.0,17804000.0,-2420000.0,-216000.0,27000.0
MOC,2015-12-31,False,Q3,2016,10-Q,33541493.0,-1018920.0,-672287.0,-0.07,-0.07,0.0,37691169.0,28843937.0,16907888.0,406646.0,19433208.0,-3295207.0,-58531.0,1324545.0
MSN,2015-12-31,False,Q3,2016,10-Q,9153000.0,-50000.0,-66000.0,0.0,0.0,0.0,60760000.0,59946000.0,2724000.0,27612000.0,57543000.0,4241000.0,-20114000.0,
ZBB,2015-12-31,False,Q2,2016,10-Q,382261.0,-4507456.0,-4515762.0,-0.1,-0.1,0.0,44794849.0,37857421.0,3492965.0,28171129.0,27123433.0,-2070908.0,-236275.0,19722006.0
EVI,2015-12-31,False,Q2,2016,10-Q,8604796.0,607803.0,379173.0,0.05,0.05,0.0,9644720.0,9449485.0,5759715.0,4595858.0,3885005.0,2095193.0,-1563.0,-1406746.0
BDL,2016-01-02,False,Q1,2016,10-Q,25278000.0,1351000.0,624000.0,0.34,0.34,0.0,56321000.0,14434000.0,12146000.0,8574000.0,34244000.0,2118000.0,-1690000.0,-1121000.0
FRD,2015-12-31,False,Q3,2016,10-Q,18548247.0,,485120.0,0.07,0.07,0.01,69681139.0,52661472.0,5078918.0,4462271.0,63830818.0,4384211.0,-1943882.0,-203982.0
FSP,2015-12-31,False,FY,2015,10-K,243867000.0,13235000.0,35014000.0,0.35,0.35,0.76,1921368000.0,,,18163000.0,935656000.0,102890000.0,-38104000.0,-54142000.0
JOB,2015-12-31,False,Q1,2016,10-Q,17625000.0,-69000.0,-394000.0,-0.04,-0.04,0.0,41334000.0,14232000.0,14258000.0,4610000.0,21791000.0,125000.0,-6849000.0,5402000.0
IEC,2016-01-01,False,Q1,2015,10-Q,32933000.0,1832000.0,1543000.0,0.15,0.15,0.0,63921000.0,48091000.0,25906000.0,85000.0,10225000.0,1604000.0,-685000.0,-1241000.0
IGC,2015-12-31,False,Q3,2016,10-Q,1084651.0,-374869.0,-402684.0,-0.02,-0.02,0.0,18402880.0,3441530.0,1280772.0,607636.0,13659232.0,3253.0,35271.0,-267060.0
INUV,2015-12-31,False,FY,2015,10-K,70438116.0,2146973.0,2339774.0,0.1,0.1,0.0,28732526.0,11620447.0,13249760.0,4257204.0,10960444.0,6106272.0,-1525888.0,-4037705.0
LEI,2015-12-31,False,Q3,2016,10-Q,183705.0,-906601.0,-1023127.0,-0.7,-0.7,0.0,36315753.0,587098.0,10987980.0,250921.0,24180595.0,-1185213.0,253796.0,1015741.0
MXC,2015-12-31,False,Q3,2016,10-Q,544870.0,-2549990.0,-2445536.0,-1.2,-1.2,0.0,17284230.0,335898.0,,35423.0,9756304.0,365179.0,-325840.0,-100000.0
AJRD,2015-11-30,False,FY,2015,10-K,1708300000.0,33300000.0,-16200000.0,-0.27,-0.27,0.0,2034900000.0,662600000.0,554100000.0,211100000.0,-146400000.0,65100000.0,-35800000.0,-84100000.0
PTN,2015-12-31,False,Q2,2016,10-Q,0.0,-12628424.0,-13249684.0,-0.08,-0.08,0.0,35394031.0,35084297.0,9959433.0,31990606.0,7475420.0,-23447401.0,-1404717.0,29543456.0
