symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ALGT,2016-06-30,False,Q2,2016,10-Q,344851000.0,104476000.0,60847000.0,3.69,3.68,0.7,1446965000.0,427901000.0,441192000.0,105683000.0,406742000.0,256099000.0,-118937000.0,-118591000.0
AMIC,2016-03-31,False,Q1,2016,10-Q,29402000.0,,114203000.0,0.03,0.03,0.0,410317000.0,,,134415000.0,222417000.0,-6180000.0,136528000.0,-794000.0
ANGO,2016-05-31,False,FY,2016,10-K,353890000.0,1018000.0,-43590000.0,-1.21,-1.21,0.0,727063000.0,146254000.0,66727000.0,32333000.0,507228000.0,45216000.0,-7569000.0,-23663000.0
ANIK,2016-06-30,False,Q2,2016,10-Q,26581000.0,13469000.0,8615000.0,0.59,0.57,0.0,222738000.0,154644000.0,10523000.0,89125000.0,204416000.0,6643000.0,-4618000.0,-23659000.0
AFH,2016-06-30,False,Q2,2016,10-Q,43196000.0,,4822000.0,0.4,0.38,0.0,413058000.0,,,22438000.0,142958000.0,2051000.0,-2367000.0,400000.0
BKMU,2016-06-30,False,Q2,2016,10-Q,27220000.0,,3949000.0,0.09,0.09,0.055,2620142000.0,,,29753000.0,286846000.0,4698000.0,-111133000.0,103141000.0
BFIN,2016-06-30,False,Q2,2016,10-Q,14118000.0,,831000.0,0.04,0.04,0.0,1499831000.0,,,11509000.0,206707000.0,8487000.0,33643000.0,-15950000.0
BIOL,2016-06-30,False,Q2,2016,10-Q,13810000.0,-3387000.0,-3533000.0,-0.06,-0.06,0.0,36001000.0,28507000.0,14951000.0,4877000.0,18952000.0,-6275000.0,-502000.0,-86000.0
BDE,2016-06-30,False,Q2,2016,10-Q,29142000.0,-1951000.0,-3171000.0,-0.1,-0.1,0.0,215682000.0,171026000.0,40611000.0,88268000.0,165591000.0,5743000.0,-1957000.0,-3967000.0
BSFT,2016-06-30,False,Q2,2016,10-Q,81721000.0,553000.0,-2895000.0,-0.1,-0.1,0.0,616554000.0,384275000.0,131889000.0,138520000.0,277440000.0,32689000.0,-72802000.0,3230000.0
CACQ,2016-06-30,False,Q2,2016,10-Q,0.0,-7300000.0,8500000.0,0.06,0.06,0.0,1171200000.0,39300000.0,0.0,20800000.0,1087400000.0,1700000.0,0.0,0.0
CZR,2016-06-30,False,Q2,2016,10-Q,1230000000.0,164000000.0,-2077000000.0,-14.25,-14.25,0.0,12117000000.0,1948000000.0,4181000000.0,1525000000.0,-96000000.0,366000000.0,16000000.0,-195000000.0
