symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ACU,2016-03-31,False,Q1,2016,10-Q,25288000.0,955000.0,565000.0,0.17,0.16,0.1,88290000.0,60876000.0,9133000.0,1474000.0,43145000.0,-2355000.0,-7430000.0,8823000.0
ADK,2016-03-31,False,Q1,2016,10-Q,7082000.0,445000.0,-3727000.0,-0.19,-0.19,0.0,163243000.0,20887000.0,57241000.0,2264000.0,-27394000.0,-1580000.0,4144000.0,-3020000.0
WGA,2016-03-31,False,Q1,2016,10-Q,1948000.0,-722000.0,-719000.0,-0.06,-0.06,0.0,5311000.0,5285000.0,665000.0,3873000.0,4646000.0,-521000.0,0.0,
ADGE,2016-03-31,False,Q1,2016,10-Q,2201481.0,-912928.0,-1101195.0,-0.02,-0.02,0.0,32594078.0,6907596.0,1828304.0,4002799.0,9859144.0,-830767.0,-740704.0,-13258.0
AXN,2016-03-31,False,Q3,2016,10-Q,6563944.0,1526710.0,622720.0,0.01,0.01,0.0,58929011.0,29318565.0,38028384.0,6046327.0,20550284.0,-1965846.0,-96447.0,3267459.0
AWX,2016-03-31,False,Q1,2016,10-Q,10999000.0,-976000.0,-908000.0,-0.24,-0.24,0.0,61091000.0,11365000.0,19938000.0,1248000.0,40766000.0,-567000.0,-494000.0,495000.0
BKJ,2016-03-31,False,Q1,2016,10-Q,8146000.0,,1292000.0,0.21,0.21,0.0,793894000.0,,,61532000.0,74349000.0,1776000.0,-4002000.0,-10431000.0
BDR,2016-03-31,False,Q1,2016,10-Q,5943000.0,-200000.0,-288000.0,-0.04,-0.04,0.0,17199000.0,9676000.0,9612000.0,513000.0,7126000.0,-17000.0,-6000.0,527000.0
DGSE,2016-03-31,False,Q1,2016,10-Q,11774516.0,-575077.0,-690331.0,-0.06,-0.06,0.0,16440132.0,12086467.0,10929074.0,1521998.0,3197143.0,-178799.0,-14706.0,-37111.0
DPW,2016-03-31,False,Q1,2016,10-Q,1713000.0,-200000.0,-193000.0,-0.03,-0.03,0.0,4927000.0,4095000.0,1663000.0,1158000.0,3264000.0,8000.0,-72000.0,
DSS,2016-03-31,False,Q1,2016,10-Q,4338986.0,-542158.0,-624022.0,-0.01,-0.01,0.0,14951490.0,4671838.0,8811805.0,1049535.0,3110659.0,-68663.0,-119619.0,-202439.0
FPP,2016-03-31,False,Q1,2016,10-Q,584713.0,-797799.0,-860527.0,-0.1,-0.1,0.0,9588063.0,1665480.0,7868690.0,1064677.0,23486.0,-342345.0,-60257.0,
JOB,2016-03-31,False,Q2,2016,10-Q,21666000.0,260000.0,7000.0,0.0,0.0,0.0,45288000.0,14673000.0,17914000.0,2916000.0,22028000.0,683000.0,-9231000.0,5532000.0
GVP,2016-03-31,False,Q1,2016,10-Q,12976000.0,215000.0,138000.0,0.01,0.01,0.0,39628000.0,28816000.0,18989000.0,11225000.0,18806000.0,1640000.0,-119000.0,-1417000.0
HMG,2016-03-31,False,Q1,2016,10-Q,15600.0,-409808.0,-58544.0,-0.06,-0.06,0.0,27794958.0,,,6334687.0,21578518.0,-65253.0,-379852.0,-4433593.0
HEB,2016-03-31,False,Q1,2016,10-Q,39000.0,-3679000.0,-2164000.0,-0.01,-0.01,0.0,21500000.0,9538000.0,3092000.0,1013000.0,18408000.0,-1043000.0,-60000.0,1000.0
